Code          Description
942           Libraries, museums, botanical and zoological gardens, and other cultural services not elsewhere classified
9420          Libraries, museums, botanical and zoological gardens, and other cultural services not elsewhere classified
949           Amusement and recreational services not elsewhere classified
9490          Amusement and recreational services not elsewhere classified
95            Personal and Household Services
951           Repair services not elsewhere classified
9511          Repair of footwear and other leather goods
9512          Electrical repair shops
9513          Repair of motor vehicles and motorcycles
9514          Watch, clock and jewellery repair
9519          Other repair shops not elsewhere classified
952           Laundries, laundry services, and cleaning and dyeing plants
9520          Laundries, laundry services, and cleaning and dyeing plants
953           Domestic services
9530          Domestic services
959           Miscellaneous personal services
9591          Barber and beauty shops
9592          Photographic studios, including commercial photography
9599          Personal services not elsewhere classified
96            International and Other Extra-Territorial Bodies
960           International and Other Extra-Territorial Bodies
9600          International and Other Extra-Territorial Bodies
0             Activities not Adequately Defined
00            Activities not adequately defined
000           Activities not adequately defined
0000          Activities not adequately defined
