"Code","Description"
"603","Transport via pipelines"
"6030","Transport via pipelines"
"61","Water transport"
"611","Sea and coastal water transport"
"6110","Sea and coastal water transport"
"612","Inland water transport"
"6120","Inland water transport"
"62","Air transport"
"621","Scheduled air transport"
"6210","Scheduled air transport"
"622","Non-scheduled air transport"
"6220","Non-scheduled air transport"
"63","Supporting and auxiliary transport activities; activities of travel agencies"
"630","Supporting and auxiliary transport activities; activities of travel agencies"
"6301","Cargo handling"
"6302","Storage and warehousing"
"6303","Other supporting transport activities"
"6304","Activities of travel agencies and tour operators; tourist assistance activities n.e.c."
"6309","Activities of other transport agencies"
"64","Post and telecommunications"
"641","Post and courier activities"
"6411","National post activities"
"6412","Courier activities other than national post activities"
"642","Telecommunications"
"6420","Telecommunications"
"J","Financial intermediation"
"65","Financial intermediation, except insurance and pension funding"
"651","Monetary intermediation"
"6511","Central banking"
"6519","Other monetary intermediation"
"659","Other financial intermediation"
"6591","Financial leasing"
"6592","Other credit granting"
"6599","Other financial intermediation n.e.c."
"66","Insurance and pension funding, except compulsory social security"
"660","Insurance and pension funding, except compulsory social security"
"6601","Life insurance"
"6602","Pension funding"
"6603","Non-life insurance"
"67","Activities auxiliary to financial intermediation"
"671","Activities auxiliary to financial intermediation, except insurance and pension funding"
"6711","Administration of financial markets"
"6712","Security dealing activities"
"6719","Activities auxiliary to financial intermediation n.e.c."
"672","Activities auxiliary to insurance and pension funding"
"6720","Activities auxiliary to insurance and pension funding"
"K","Real estate, renting and business activities"
"70","Real estate activities"
"701","Real estate activities with own or leased property"
"7010","Real estate activities with own or leased property"
"702","Real estate activities on a fee or contract basis"
"7020","Real estate activities on a fee or contract basis"
"71","Renting of machinery and equipment without operator and of personal and household goods"
"711","Renting of transport equipment"
"7111","Renting of land transport equipment"
"7112","Renting of water transport equipment"
"7113","Renting of air transport equipment"
"712","Renting of other machinery and equipment"
"7121","Renting of agricultural machinery and equipment"
"7122","Renting of construction and civil engineering machinery and equipment"
"7123","Renting of office machinery and equipment (including computers)"
"7129","Renting of other machinery and equipment n.e.c."
"713","Renting of personal and household goods n.e.c."
"7130","Renting of personal and household goods n.e.c."
"72","Computer and related activities"
"721","Hardware consultancy"
"7210","Hardware consultancy"
"722","Software publishing, consultancy and supply"
"7221","Software publishing"
"7229","Other software consultancy and supply"
"723","Data processing"
"7230","Data processing"
"724","Database activities and online distribution of electronic content"
"7240","Database activities and online distribution of electronic content"
"725","Maintenance and repair of office, accounting and computing machinery"
"7250","Maintenance and repair of office, accounting and computing machinery"
"729","Other computer-related activities"
"7290","Other computer-related activities"
"73","Research and development"
"731","Research and experimental development on natural sciences and engineering (NSE)"
"7310","Research and experimental development on natural sciences and engineering (NSE)"
"732","Research and experimental development on social sciences and humanities (SSH)"
"7320","Research and experimental development on social sciences and humanities (SSH)"
"74","Other business activities"
"741","Legal, accounting, bookkeeping and auditing activities; tax consultancy; market research and public opinion polling; business and management consultancy"
"7411","Legal activities"
"7412","Accounting, bookkeeping and auditing activities; tax consultancy"
"7413","Market research and public opinion polling"
"7414","Business and management consultancy activities"
"742","Architectural, engineering and other technical activities"
"7421","Architectural and engineering activities and related technical consultancy"
"7422","Technical testing and analysis"
"743","Advertising"
"7430","Advertising"
"749","Business activities n.e.c."
"7491","Labour recruitment and provision of personnel"
"7492","Investigation and security activities"
"7493","Building-cleaning and industrial-cleaning activities"
"7494","Photographic activities"
"7495","Packaging activities"
"7499","Other business activities n.e.c."
"L","Public administration and defence; compulsory social security"
"75","Public administration and defence; compulsory social security"
"751","Administration of the State and the economic and social policy of the community"
"7511","General (overall) public service activities"
"7512","Regulation of the activities of agencies that provide health care, education, cultural services and other social services, excluding social security"
"7513","Regulation of and contribution to more efficient operation of business"
"7514","Supporting service activities for the government as a whole"
"752","Provision of services to the community as a whole"
"7521","Foreign affairs"
"7522","Defence activities"
"7523","Public order and safety activities"
"753","Compulsory social security activities"
"7530","Compulsory social security activities"
"M","Education"
"80","Education"
"801","Primary education"
"8010","Primary education"
"802","Secondary education"
"8021","General secondary education"
"8022","Technical and vocational secondary education"
"803","Higher education"
"8030","Higher education"
"809","Other education"
"8090","Other education"
"N","Health and social work"
"85","Health and social work"
"851","Human health activities"
"8511","Hospital activities"
"8512","Medical and dental practice activities"
"8519","Other human health activities"
"852","Veterinary activities"
"8520","Veterinary activities"
"853","Social work activities"
"8531","Social work activities with accommodation"
"8532","Social work activities without accommodation"
"O","Other community, social and personal service activities"
"90","Sewage and refuse disposal, sanitation and similar activities"
"900","Sewage and refuse disposal, sanitation and similar activities"
"9000","Sewage and refuse disposal, sanitation and similar activities"
"91","Activities of membership organizations n.e.c."
"911","Activities of business, employers and professional organizations"
"9111","Activities of business and employers organizations"
"9112","Activities of professional organizations"
"912","Activities of trade unions"
"9120","Activities of trade unions"
"919","Activities of other membership organizations"
"9191","Activities of religious organizations"
"9192","Activities of political organizations"
"9199","Activities of other membership organizations n.e.c."
"92","Recreational, cultural and sporting activities"
"921","Motion picture, radio, television and other entertainment activities"
"9211","Motion picture and video production and distribution"
"9212","Motion picture projection"
"9213","Radio and television activities"
"9214","Dramatic arts, music and other arts activities"
"9219","Other entertainment activities n.e.c."
"922","News agency activities"
"9220","News agency activities"
"923","Library, archives, museums and other cultural activities"
"9231","Library and archives activities"
"9232","Museums activities and preservation of historic sites and buildings"
"9233","Botanical and zoological gardens and nature reserves activities"
"924","Sporting and other recreational activities"
"9241","Sporting activities"
"9249","Other recreational activities"
"93","Other service activities"
"930","Other service activities"
"9301","Washing and (dry-)cleaning of textile and fur products"
"9302","Hairdressing and other beauty treatment"
"9303","Funeral and related activities"
"9309","Other service activities n.e.c."
"P","Activities of private households as employers and undifferentiated production activities of private households"
"95","Activities of private households as employers of domestic staff"
"950","Activities of private households as employers of domestic staff"
"9500","Activities of private households as employers of domestic staff"
"96","Undifferentiated goods-producing activities of private households for own use"
"960","Undifferentiated goods-producing activities of private households for own use"
"9600","Undifferentiated goods-producing activities of private households for own use"
"97","Undifferentiated service-producing activities of private households for own use"
"970","Undifferentiated service-producing activities of private households for own use"
"9700","Undifferentiated service-producing activities of private households for own use"
"Q","Extraterritorial organizations and bodies"
"99","Extraterritorial organizations and bodies"
"990","Extraterritorial organizations and bodies"
"9900","Extraterritorial organizations and bodies"
