Seq. No.        2007 NAICS US Code      2007 NAICS US Title
92      11292   Horses and Other Equine Production
93      112920  Horses and Other Equine Production
94      11293   Fur-Bearing Animal and Rabbit Production
95      112930  Fur-Bearing Animal and Rabbit Production
96      11299   All Other Animal Production
97      112990  All Other Animal Production
98      113     Forestry and Logging
99      1131    Timber Tract Operations
100     11311   Timber Tract Operations
101     113110  Timber Tract Operations
102     1132    Forest Nurseries and Gathering of Forest Products
103     11321   Forest Nurseries and Gathering of Forest Products
104     113210  Forest Nurseries and Gathering of Forest Products
105     1133    Logging
106     11331   Logging
107     113310  Logging
108     114     "Fishing, Hunting and Trapping"
109     1141    Fishing
110     11411   Fishing
111     114111  Finfish Fishing
112     114112  Shellfish Fishing
113     114119  Other Marine Fishing
114     1142    Hunting and Trapping
115     11421   Hunting and Trapping
116     114210  Hunting and Trapping
117     115     Support Activities for Agriculture and Forestry
118     1151    Support Activities for Crop Production
119     11511   Support Activities for Crop Production
120     115111  Cotton Ginning
121     115112  "Soil Preparation, Planting, and Cultivating"
122     115113  "Crop Harvesting, Primarily by Machine"
123     115114  Postharvest Crop Activities (except Cotton Ginning)
124     115115  Farm Labor Contractors and Crew Leaders
125     115116  Farm Management Services
126     1152    Support Activities for Animal Production
127     11521   Support Activities for Animal Production
128     115210  Support Activities for Animal Production
129     1153    Support Activities for Forestry
130     11531   Support Activities for Forestry
131     115310  Support Activities for Forestry
132     21      "Mining, Quarrying, and Oil and Gas Extraction"
133     211     Oil and Gas Extraction
134     2111    Oil and Gas Extraction
135     21111   Oil and Gas Extraction
136     211111  Crude Petroleum and Natural Gas Extraction
137     211112  Natural Gas Liquid Extraction
138     212     Mining (except Oil and Gas)
139     2121    Coal Mining
140     21211   Coal Mining
141     212111  Bituminous Coal and Lignite Surface Mining
142     212112  Bituminous Coal Underground Mining
143     212113  Anthracite Mining
144     2122    Metal Ore Mining
145     21221   Iron Ore Mining
146     212210  Iron Ore Mining
147     21222   Gold Ore and Silver Ore Mining
148     212221  Gold Ore Mining
149     212222  Silver Ore Mining
150     21223   "Copper, Nickel, Lead, and Zinc Mining"
151     212231  Lead Ore and Zinc Ore Mining
152     212234  Copper Ore and Nickel Ore Mining
153     21229   Other Metal Ore Mining
154     212291  Uranium-Radium-Vanadium Ore Mining
155     212299  All Other Metal Ore Mining
156     2123    Nonmetallic Mineral Mining and Quarrying
157     21231   Stone Mining and Quarrying
158     212311  Dimension Stone Mining and Quarrying
159     212312  Crushed and Broken Limestone Mining and Quarrying
160     212313  Crushed and Broken Granite Mining and Quarrying
161     212319  Other Crushed and Broken Stone Mining and Quarrying
162     21232   "Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
163     212321  Construction Sand and Gravel Mining
164     212322  Industrial Sand Mining
165     212324  Kaolin and Ball Clay Mining
166     212325  Clay and Ceramic and Refractory Minerals Mining
167     21239   Other Nonmetallic Mineral Mining and Quarrying
168     212391  "Potash, Soda, and Borate Mineral Mining"
169     212392  Phosphate Rock Mining
170     212393  Other Chemical and Fertilizer Mineral Mining
171     212399  All Other Nonmetallic Mineral Mining
172     213     Support Activities for Mining
173     2131    Support Activities for Mining
174     21311   Support Activities for Mining
175     213111  Drilling Oil and Gas Wells
176     213112  Support Activities for Oil and Gas Operations
177     213113  Support Activities for Coal Mining
178     213114  Support Activities for Metal Mining
179     213115  Support Activities for Nonmetallic Minerals (except Fuels) Mining
180     22      Utilities
181     221     Utilities
182     2211    "Electric Power Generation, Transmission and Distribution"
183     22111   Electric Power Generation
184     221111  Hydroelectric Power Generation
185     221112  Fossil Fuel Electric Power Generation
186     221113  Nuclear Electric Power Generation
187     221119  Other Electric Power Generation
188     22112   "Electric Power Transmission, Control, and Distribution"
189     221121  Electric Bulk Power Transmission and Control
190     221122  Electric Power Distribution
191     2212    Natural Gas Distribution
192     22121   Natural Gas Distribution
193     221210  Natural Gas Distribution
194     2213    "Water, Sewage and Other Systems"
195     22131   Water Supply and Irrigation Systems
196     221310  Water Supply and Irrigation Systems
197     22132   Sewage Treatment Facilities
198     221320  Sewage Treatment Facilities
199     22133   Steam and Air-Conditioning Supply
200     221330  Steam and Air-Conditioning Supply
201     23      Construction
202     236     Construction of Buildings
203     2361    Residential Building Construction
204     23611   Residential Building Construction
205     236115  New Single-Family Housing Construction (except Operative Builders)
206     236116  New Multifamily Housing Construction (except Operative Builders)
207     236117  New Housing Operative Builders
208     236118  Residential Remodelers
209     2362    Nonresidential Building Construction
210     23621   Industrial Building Construction
211     236210  Industrial Building Construction
212     23622   Commercial and Institutional Building Construction
213     236220  Commercial and Institutional Building Construction
214     237     Heavy and Civil Engineering Construction
215     2371    Utility System Construction
216     23711   Water and Sewer Line and Related Structures Construction
217     237110  Water and Sewer Line and Related Structures Construction
218     23712   Oil and Gas Pipeline and Related Structures Construction
219     237120  Oil and Gas Pipeline and Related Structures Construction
220     23713   Power and Communication Line and Related Structures Construction
221     237130  Power and Communication Line and Related Structures Construction
222     2372    Land Subdivision
223     23721   Land Subdivision
224     237210  Land Subdivision
225     2373    "Highway, Street, and Bridge Construction"
226     23731   "Highway, Street, and Bridge Construction"
227     237310  "Highway, Street, and Bridge Construction"
228     2379    Other Heavy and Civil Engineering Construction
229     23799   Other Heavy and Civil Engineering Construction
230     237990  Other Heavy and Civil Engineering Construction
231     238     Specialty Trade Contractors
232     2381    "Foundation, Structure, and Building Exterior Contractors"
233     23811   Poured Concrete Foundation and Structure Contractors
234     238110  Poured Concrete Foundation and Structure Contractors
235     23812   Structural Steel and Precast Concrete Contractors
236     238120  Structural Steel and Precast Concrete Contractors
237     23813   Framing Contractors
238     238130  Framing Contractors
239     23814   Masonry Contractors
240     238140  Masonry Contractors
241     23815   Glass and Glazing Contractors
242     238150  Glass and Glazing Contractors
243     23816   Roofing Contractors
244     238160  Roofing Contractors
245     23817   Siding Contractors
246     238170  Siding Contractors
247     23819   "Other Foundation, Structure, and Building Exterior Contractors"
248     238190  "Other Foundation, Structure, and Building Exterior Contractors"
249     2382    Building Equipment Contractors
250     23821   Electrical Contractors and Other Wiring Installation Contractors
251     238210  Electrical Contractors and Other Wiring Installation Contractors
252     23822   "Plumbing, Heating, and Air-Conditioning Contractors"
253     238220  "Plumbing, Heating, and Air-Conditioning Contractors"
254     23829   Other Building Equipment Contractors
255     238290  Other Building Equipment Contractors
256     2383    Building Finishing Contractors
257     23831   Drywall and Insulation Contractors
258     238310  Drywall and Insulation Contractors
259     23832   Painting and Wall Covering Contractors
260     238320  Painting and Wall Covering Contractors
261     23833   Flooring Contractors
262     238330  Flooring Contractors
263     23834   Tile and Terrazzo Contractors
264     238340  Tile and Terrazzo Contractors
265     23835   Finish Carpentry Contractors
266     238350  Finish Carpentry Contractors
267     23839   Other Building Finishing Contractors
268     238390  Other Building Finishing Contractors
269     2389    Other Specialty Trade Contractors
270     23891   Site Preparation Contractors
271     238910  Site Preparation Contractors
272     23899   All Other Specialty Trade Contractors
273     238990  All Other Specialty Trade Contractors
274     31-33   Manufacturing
275     311     Food Manufacturing
276     3111    Animal Food Manufacturing
277     31111   Animal Food Manufacturing
278     311111  Dog and Cat Food Manufacturing
279     311119  Other Animal Food Manufacturing
280     3112    Grain and Oilseed Milling
281     31121   Flour Milling and Malt Manufacturing
282     311211  Flour Milling
283     311212  Rice Milling
284     311213  Malt Manufacturing
285     31122   Starch and Vegetable Fats and Oils Manufacturing
286     311221  Wet Corn Milling
287     311222  Soybean Processing
288     311223  Other Oilseed Processing
289     311225  Fats and Oils Refining and Blending
290     31123   Breakfast Cereal Manufacturing
291     311230  Breakfast Cereal Manufacturing
292     3113    Sugar and Confectionery Product Manufacturing
293     31131   Sugar Manufacturing
294     311311  Sugarcane Mills
295     311312  Cane Sugar Refining
296     311313  Beet Sugar Manufacturing
297     31132   Chocolate and Confectionery Manufacturing from Cacao Beans
298     311320  Chocolate and Confectionery Manufacturing from Cacao Beans
299     31133   Confectionery Manufacturing from Purchased Chocolate
300     311330  Confectionery Manufacturing from Purchased Chocolate
301     31134   Nonchocolate Confectionery Manufacturing
302     311340  Nonchocolate Confectionery Manufacturing
303     3114    Fruit and Vegetable Preserving and Specialty Food Manufacturing
304     31141   Frozen Food Manufacturing
305     311411  "Frozen Fruit, Juice, and Vegetable Manufacturing"
306     311412  Frozen Specialty Food Manufacturing
307     31142   "Fruit and Vegetable Canning, Pickling, and Drying"
308     311421  Fruit and Vegetable Canning
309     311422  Specialty Canning
310     311423  Dried and Dehydrated Food Manufacturing
311     3115    Dairy Product Manufacturing
312     31151   Dairy Product (except Frozen) Manufacturing
313     311511  Fluid Milk Manufacturing
314     311512  Creamery Butter Manufacturing
315     311513  Cheese Manufacturing
316     311514  "Dry, Condensed, and Evaporated Dairy Product Manufacturing"
317     31152   Ice Cream and Frozen Dessert Manufacturing
318     311520  Ice Cream and Frozen Dessert Manufacturing
319     3116    Animal Slaughtering and Processing
320     31161   Animal Slaughtering and Processing
321     311611  Animal (except Poultry) Slaughtering
322     311612  Meat Processed from Carcasses
323     311613  Rendering and Meat Byproduct Processing
324     311615  Poultry Processing
325     3117    Seafood Product Preparation and Packaging
326     31171   Seafood Product Preparation and Packaging
327     311711  Seafood Canning
328     311712  Fresh and Frozen Seafood Processing
329     3118    Bakeries and Tortilla Manufacturing
330     31181   Bread and Bakery Product Manufacturing
331     311811  Retail Bakeries
332     311812  Commercial Bakeries
333     311813  "Frozen Cakes, Pies, and Other Pastries Manufacturing"
334     31182   "Cookie, Cracker, and Pasta Manufacturing"
335     311821  Cookie and Cracker Manufacturing
336     311822  Flour Mixes and Dough Manufacturing from Purchased Flour
337     311823  Dry Pasta Manufacturing
338     31183   Tortilla Manufacturing
339     311830  Tortilla Manufacturing
340     3119    Other Food Manufacturing
341     31191   Snack Food Manufacturing
342     311911  Roasted Nuts and Peanut Butter Manufacturing
343     311919  Other Snack Food Manufacturing
344     31192   Coffee and Tea Manufacturing
345     311920  Coffee and Tea Manufacturing
346     31193   Flavoring Syrup and Concentrate Manufacturing
347     311930  Flavoring Syrup and Concentrate Manufacturing
348     31194   Seasoning and Dressing Manufacturing
349     311941  "Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
350     311942  Spice and Extract Manufacturing
351     31199   All Other Food Manufacturing
352     311991  Perishable Prepared Food Manufacturing
353     311999  All Other Miscellaneous Food Manufacturing
354     312     Beverage and Tobacco Product Manufacturing
355     3121    Beverage Manufacturing
356     31211   Soft Drink and Ice Manufacturing
357     312111  Soft Drink Manufacturing
358     312112  Bottled Water Manufacturing
359     312113  Ice Manufacturing
360     31212   Breweries
361     312120  Breweries
362     31213   Wineries
363     312130  Wineries
364     31214   Distilleries
365     312140  Distilleries
366     3122    Tobacco Manufacturing
367     31221   Tobacco Stemming and Redrying
368     312210  Tobacco Stemming and Redrying
369     31222   Tobacco Product Manufacturing
370     312221  Cigarette Manufacturing
371     312229  Other Tobacco Product Manufacturing
372     313     Textile Mills
373     3131    "Fiber, Yarn, and Thread Mills"
374     31311   "Fiber, Yarn, and Thread Mills"
375     313111  Yarn Spinning Mills
376     313112  "Yarn Texturizing, Throwing, and Twisting Mills"
377     313113  Thread Mills
378     3132    Fabric Mills
379     31321   Broadwoven Fabric Mills
380     313210  Broadwoven Fabric Mills
381     31322   Narrow Fabric Mills and Schiffli Machine Embroidery
382     313221  Narrow Fabric Mills
383     313222  Schiffli Machine Embroidery
384     31323   Nonwoven Fabric Mills
385     313230  Nonwoven Fabric Mills
386     31324   Knit Fabric Mills
387     313241  Weft Knit Fabric Mills
388     313249  Other Knit Fabric and Lace Mills
389     3133    Textile and Fabric Finishing and Fabric Coating Mills
390     31331   Textile and Fabric Finishing Mills
391     313311  Broadwoven Fabric Finishing Mills
392     313312  Textile and Fabric Finishing (except Broadwoven Fabric) Mills
393     31332   Fabric Coating Mills
394     313320  Fabric Coating Mills
395     314     Textile Product Mills
396     3141    Textile Furnishings Mills
397     31411   Carpet and Rug Mills
398     314110  Carpet and Rug Mills
399     31412   Curtain and Linen Mills
400     314121  Curtain and Drapery Mills
401     314129  Other Household Textile Product Mills
402     3149    Other Textile Product Mills
403     31491   Textile Bag and Canvas Mills
404     314911  Textile Bag Mills
405     314912  Canvas and Related Product Mills
406     31499   All Other Textile Product Mills
407     314991  "Rope, Cordage, and Twine Mills"
408     314992  Tire Cord and Tire Fabric Mills
409     314999  All Other Miscellaneous Textile Product Mills
410     315     Apparel Manufacturing
411     3151    Apparel Knitting Mills
412     31511   Hosiery and Sock Mills
413     315111  Sheer Hosiery Mills
414     315119  Other Hosiery and Sock Mills
415     31519   Other Apparel Knitting Mills
416     315191  Outerwear Knitting Mills
417     315192  Underwear and Nightwear Knitting Mills
418     3152    Cut and Sew Apparel Manufacturing
419     31521   Cut and Sew Apparel Contractors
420     315211  Men's and Boys' Cut and Sew Apparel Contractors
421     315212  "Women's, Girls', and Infants' Cut and Sew Apparel Contractors"
422     31522   Men's and Boys' Cut and Sew Apparel Manufacturing
423     315221  Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing
424     315222  "Men's and Boys' Cut and Sew Suit, Coat, and Overcoat Manufacturing"
425     315223  Men's and Boys' Cut and Sew Shirt (except Work Shirt) Manufacturing
426     315224  "Men's and Boys' Cut and Sew Trouser, Slack, and Jean Manufacturing"
427     315225  Men's and Boys' Cut and Sew Work Clothing Manufacturing
428     315228  Men's and Boys' Cut and Sew Other Outerwear Manufacturing
429     31523   Women's and Girls' Cut and Sew Apparel Manufacturing
430     315231  "Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing"
431     315232  Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing
432     315233  Women's and Girls' Cut and Sew Dress Manufacturing
433     315234  "Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket, and Skirt Manufacturing"
434     315239  Women's and Girls' Cut and Sew Other Outerwear Manufacturing
435     31529   Other Cut and Sew Apparel Manufacturing
436     315291  Infants' Cut and Sew Apparel Manufacturing
437     315292  Fur and Leather Apparel Manufacturing
438     315299  All Other Cut and Sew Apparel Manufacturing
439     3159    Apparel Accessories and Other Apparel Manufacturing
440     31599   Apparel Accessories and Other Apparel Manufacturing
441     315991  "Hat, Cap, and Millinery Manufacturing"
442     315992  Glove and Mitten Manufacturing
443     315993  Men's and Boys' Neckwear Manufacturing
444     315999  Other Apparel Accessories and Other Apparel Manufacturing
445     316     Leather and Allied Product Manufacturing
446     3161    Leather and Hide Tanning and Finishing
447     31611   Leather and Hide Tanning and Finishing
448     316110  Leather and Hide Tanning and Finishing
449     3162    Footwear Manufacturing
450     31621   Footwear Manufacturing
451     316211  Rubber and Plastics Footwear Manufacturing
452     316212  House Slipper Manufacturing
453     316213  Men's Footwear (except Athletic) Manufacturing
454     316214  Women's Footwear (except Athletic) Manufacturing
455     316219  Other Footwear Manufacturing
456     3169    Other Leather and Allied Product Manufacturing
457     31699   Other Leather and Allied Product Manufacturing
458     316991  Luggage Manufacturing
459     316992  Women's Handbag and Purse Manufacturing
460     316993  Personal Leather Good (except Women's Handbag and Purse) Manufacturing
461     316999  All Other Leather Good and Allied Product Manufacturing
462     321     Wood Product Manufacturing
463     3211    Sawmills and Wood Preservation
464     32111   Sawmills and Wood Preservation
465     321113  Sawmills
466     321114  Wood Preservation
467     3212    "Veneer, Plywood, and Engineered Wood Product Manufacturing"
468     32121   "Veneer, Plywood, and Engineered Wood Product Manufacturing"
469     321211  Hardwood Veneer and Plywood Manufacturing
470     321212  Softwood Veneer and Plywood Manufacturing
471     321213  Engineered Wood Member (except Truss) Manufacturing
472     321214  Truss Manufacturing
473     321219  Reconstituted Wood Product Manufacturing
474     3219    Other Wood Product Manufacturing
475     32191   Millwork
476     321911  Wood Window and Door Manufacturing
477     321912  "Cut Stock, Resawing Lumber, and Planing"
478     321918  Other Millwork (including Flooring)
479     32192   Wood Container and Pallet Manufacturing
480     321920  Wood Container and Pallet Manufacturing
481     32199   All Other Wood Product Manufacturing
482     321991  Manufactured Home (Mobile Home) Manufacturing
483     321992  Prefabricated Wood Building Manufacturing
484     321999  All Other Miscellaneous Wood Product Manufacturing
485     322     Paper Manufacturing
486     3221    "Pulp, Paper, and Paperboard Mills"
487     32211   Pulp Mills
488     322110  Pulp Mills
489     32212   Paper Mills
490     322121  Paper (except Newsprint) Mills
491     322122  Newsprint Mills
492     32213   Paperboard Mills
493     322130  Paperboard Mills
494     3222    Converted Paper Product Manufacturing
495     32221   Paperboard Container Manufacturing
496     322211  Corrugated and Solid Fiber Box Manufacturing
497     322212  Folding Paperboard Box Manufacturing
498     322213  Setup Paperboard Box Manufacturing
499     322214  "Fiber Can, Tube, Drum, and Similar Products Manufacturing"
500     322215  Nonfolding Sanitary Food Container Manufacturing
501     32222   Paper Bag and Coated and Treated Paper Manufacturing
502     322221  Coated and Laminated Packaging Paper Manufacturing
503     322222  Coated and Laminated Paper Manufacturing
504     322223  Coated Paper Bag and Pouch Manufacturing
505     322224  Uncoated Paper and Multiwall Bag Manufacturing
506     322225  Laminated Aluminum Foil Manufacturing for Flexible Packaging Uses
507     322226  Surface-Coated Paperboard Manufacturing
508     32223   Stationery Product Manufacturing
509     322231  Die-Cut Paper and Paperboard Office Supplies Manufacturing
510     322232  Envelope Manufacturing
511     322233  "Stationery, Tablet, and Related Product Manufacturing"
512     32229   Other Converted Paper Product Manufacturing
513     322291  Sanitary Paper Product Manufacturing
514     322299  All Other Converted Paper Product Manufacturing
515     323     Printing and Related Support Activities
516     3231    Printing and Related Support Activities
517     32311   Printing
518     323110  Commercial Lithographic Printing
519     323111  Commercial Gravure Printing
520     323112  Commercial Flexographic Printing
521     323113  Commercial Screen Printing
522     323114  Quick Printing
523     323115  Digital Printing
524     323116  Manifold Business Forms Printing
525     323117  Books Printing
526     323118  "Blankbook, Looseleaf Binders, and Devices Manufacturing"
527     323119  Other Commercial Printing
528     32312   Support Activities for Printing
529     323121  Tradebinding and Related Work
530     323122  Prepress Services
531     324     Petroleum and Coal Products Manufacturing
532     3241    Petroleum and Coal Products Manufacturing
533     32411   Petroleum Refineries
534     324110  Petroleum Refineries
535     32412   "Asphalt Paving, Roofing, and Saturated Materials Manufacturing"
536     324121  Asphalt Paving Mixture and Block Manufacturing
537     324122  Asphalt Shingle and Coating Materials Manufacturing
538     32419   Other Petroleum and Coal Products Manufacturing
539     324191  Petroleum Lubricating Oil and Grease Manufacturing
540     324199  All Other Petroleum and Coal Products Manufacturing
541     325     Chemical Manufacturing
542     3251    Basic Chemical Manufacturing
543     32511   Petrochemical Manufacturing
544     325110  Petrochemical Manufacturing
545     32512   Industrial Gas Manufacturing
546     325120  Industrial Gas Manufacturing
547     32513   Synthetic Dye and Pigment Manufacturing
548     325131  Inorganic Dye and Pigment Manufacturing
549     325132  Synthetic Organic Dye and Pigment Manufacturing
550     32518   Other Basic Inorganic Chemical Manufacturing
551     325181  Alkalies and Chlorine Manufacturing
552     325182  Carbon Black Manufacturing
553     325188  All Other Basic Inorganic Chemical Manufacturing
554     32519   Other Basic Organic Chemical Manufacturing
555     325191  Gum and Wood Chemical Manufacturing
556     325192  Cyclic Crude and Intermediate Manufacturing
557     325193  Ethyl Alcohol Manufacturing
558     325199  All Other Basic Organic Chemical Manufacturing
559     3252    "Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing"
560     32521   Resin and Synthetic Rubber Manufacturing
561     325211  Plastics Material and Resin Manufacturing
562     325212  Synthetic Rubber Manufacturing
563     32522   Artificial and Synthetic Fibers and Filaments Manufacturing
564     325221  Cellulosic Organic Fiber Manufacturing
565     325222  Noncellulosic Organic Fiber Manufacturing
566     3253    "Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing"
567     32531   Fertilizer Manufacturing
568     325311  Nitrogenous Fertilizer Manufacturing
569     325312  Phosphatic Fertilizer Manufacturing
570     325314  Fertilizer (Mixing Only) Manufacturing
571     32532   Pesticide and Other Agricultural Chemical Manufacturing
572     325320  Pesticide and Other Agricultural Chemical Manufacturing
573     3254    Pharmaceutical and Medicine Manufacturing
574     32541   Pharmaceutical and Medicine Manufacturing
575     325411  Medicinal and Botanical Manufacturing
576     325412  Pharmaceutical Preparation Manufacturing
577     325413  In-Vitro Diagnostic Substance Manufacturing
578     325414  Biological Product (except Diagnostic) Manufacturing
579     3255    "Paint, Coating, and Adhesive Manufacturing"
580     32551   Paint and Coating Manufacturing
581     325510  Paint and Coating Manufacturing
582     32552   Adhesive Manufacturing
583     325520  Adhesive Manufacturing
584     3256    "Soap, Cleaning Compound, and Toilet Preparation Manufacturing"
585     32561   Soap and Cleaning Compound Manufacturing
586     325611  Soap and Other Detergent Manufacturing
587     325612  Polish and Other Sanitation Good Manufacturing
588     325613  Surface Active Agent Manufacturing
589     32562   Toilet Preparation Manufacturing
590     325620  Toilet Preparation Manufacturing
591     3259    Other Chemical Product and Preparation Manufacturing
592     32591   Printing Ink Manufacturing
593     325910  Printing Ink Manufacturing
594     32592   Explosives Manufacturing
595     325920  Explosives Manufacturing
596     32599   All Other Chemical Product and Preparation Manufacturing
597     325991  Custom Compounding of Purchased Resins
598     325992  "Photographic Film, Paper, Plate, and Chemical Manufacturing"
599     325998  All Other Miscellaneous Chemical Product and Preparation Manufacturing
600     326     Plastics and Rubber Products Manufacturing
601     3261    Plastics Product Manufacturing
602     32611   Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing
603     326111  Plastics Bag and Pouch Manufacturing
604     326112  Plastics Packaging Film and Sheet (including Laminated) Manufacturing
605     326113  Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
606     32612   "Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing"
607     326121  Unlaminated Plastics Profile Shape Manufacturing
608     326122  Plastics Pipe and Pipe Fitting Manufacturing
609     32613   "Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
610     326130  "Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
611     32614   Polystyrene Foam Product Manufacturing
612     326140  Polystyrene Foam Product Manufacturing
613     32615   Urethane and Other Foam Product (except Polystyrene) Manufacturing
614     326150  Urethane and Other Foam Product (except Polystyrene) Manufacturing
615     32616   Plastics Bottle Manufacturing
616     326160  Plastics Bottle Manufacturing
617     32619   Other Plastics Product Manufacturing
618     326191  Plastics Plumbing Fixture Manufacturing
619     326192  Resilient Floor Covering Manufacturing
620     326199  All Other Plastics Product Manufacturing
621     3262    Rubber Product Manufacturing
622     32621   Tire Manufacturing
623     326211  Tire Manufacturing (except Retreading)
624     326212  Tire Retreading
625     32622   Rubber and Plastics Hoses and Belting Manufacturing
626     326220  Rubber and Plastics Hoses and Belting Manufacturing
627     32629   Other Rubber Product Manufacturing
628     326291  Rubber Product Manufacturing for Mechanical Use
629     326299  All Other Rubber Product Manufacturing
630     327     Nonmetallic Mineral Product Manufacturing
631     3271    Clay Product and Refractory Manufacturing
632     32711   "Pottery, Ceramics, and Plumbing Fixture Manufacturing"
633     327111  Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing
634     327112  "Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing"
635     327113  Porcelain Electrical Supply Manufacturing
636     32712   Clay Building Material and Refractories Manufacturing
637     327121  Brick and Structural Clay Tile Manufacturing
638     327122  Ceramic Wall and Floor Tile Manufacturing
639     327123  Other Structural Clay Product Manufacturing
640     327124  Clay Refractory Manufacturing
641     327125  Nonclay Refractory Manufacturing
642     3272    Glass and Glass Product Manufacturing
643     32721   Glass and Glass Product Manufacturing
644     327211  Flat Glass Manufacturing
645     327212  Other Pressed and Blown Glass and Glassware Manufacturing
646     327213  Glass Container Manufacturing
647     327215  Glass Product Manufacturing Made of Purchased Glass
648     3273    Cement and Concrete Product Manufacturing
649     32731   Cement Manufacturing
650     327310  Cement Manufacturing
651     32732   Ready-Mix Concrete Manufacturing
652     327320  Ready-Mix Concrete Manufacturing
653     32733   "Concrete Pipe, Brick, and Block Manufacturing"
654     327331  Concrete Block and Brick Manufacturing
655     327332  Concrete Pipe Manufacturing
656     32739   Other Concrete Product Manufacturing
657     327390  Other Concrete Product Manufacturing
658     3274    Lime and Gypsum Product Manufacturing
659     32741   Lime Manufacturing
660     327410  Lime Manufacturing
661     32742   Gypsum Product Manufacturing
662     327420  Gypsum Product Manufacturing
663     3279    Other Nonmetallic Mineral Product Manufacturing
664     32791   Abrasive Product Manufacturing
665     327910  Abrasive Product Manufacturing
666     32799   All Other Nonmetallic Mineral Product Manufacturing
667     327991  Cut Stone and Stone Product Manufacturing
668     327992  Ground or Treated Mineral and Earth Manufacturing
669     327993  Mineral Wool Manufacturing
670     327999  All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
