SITC Revision 2 Product Code,SITC Revision 2 Product Description,ISIC Revision 2 Product Code,ISIC Revision 2 Product Description
0913,"Lard,other pig fat & poultry,rendered/solvent-ext.",3111,"Slaughtering, preparing and preserving meat"
1122,"Other fermented beverages n.e.s (cider,perry mead)",3132,Wine industries
1123,"Beer made from malt (includ.ale,stout and porter)",3133,Malt liqors and malt
1213,Tobacco refuse,1110,Agricultural and livestock production
1221,Cigars and cheroots; cigarillos,3140,Tobacco manufactures
1222,Cigarettes,3140,Tobacco manufactures
1223,"Tobacco,manufactured (inc.smoking,chewing tobacco)",3140,Tobacco manufactures
2111,"Bovine & equine hides (other than calf),raw",3111,"Slaughtering, preparing and preserving meat"
2112,"Calf skins,raw (fresh,salted,dried,pickled/limed",3111,"Slaughtering, preparing and preserving meat"
2114,"Goat & kid skins,raw (fresh,salted,dried,pickled)",1110,Agricultural and livestock production
2116,"Sheep & lamb skins with wool on,raw (fresh,salted)",3111,"Slaughtering, preparing and preserving meat"
2117,"Sheep & lamb skins without the wool,raw(fresh etc)",3111,"Slaughtering, preparing and preserving meat"
2221,"Groundnuts (peanuts),green,whether or not shelled",1110,Agricultural and livestock production
2222,Soya beans,1110,Agricultural and livestock production
2223,Cotton seeds,3211,"Spinning, weawing and finishing textiles"
2224,Sunflower seeds,1110,Agricultural and livestock production
2225,Sesame (sesamum)seeds,1110,Agricultural and livestock production
2226,Rape and colza seeds,1110,Agricultural and livestock production
2231,Copra,1110,Agricultural and livestock production
2232,Palm nuts and palm kernels,1110,Agricultural and livestock production
2234,Linseed,1110,Agricultural and livestock production
2235,Castor oil seeds,1110,Agricultural and livestock production
2238,Oil seeds and oleaginous fruit. n.e.s.,1110,Agricultural and livestock production
2239,Flours or meals/oil seeds/oleag.fruit non defatted,3115,Manufacture of vegetable and animal oils and fats
2481,Railway or tramway sleepers (ties)of wood,3311,"Sawmille, planing and other wood mills"
2511,"Waste paper,paperboard;only for use paper-making",3411,"Manufacture of pulp, paper and paperboard"
2512,Mechanical wood pulp,3411,"Manufacture of pulp, paper and paperboard"
2516,"Chemical wood pulp,dissolving grades",3411,"Manufacture of pulp, paper and paperboard"
2613,Raw silk (not thrown),1110,Agricultural and livestock production
2631,"Cotton (other than linters),not carded or combed",1110,Agricultural and livestock production
2632,Cotton linters,3211,"Spinning, weawing and finishing textiles"
2633,Cotton waste (including pulled or garnetted rags),3211,"Spinning, weawing and finishing textiles"
2634,"Cotton,carded or combed",3211,"Spinning, weawing and finishing textiles"
2640,"Jute & other textile bast fibres,nes,raw/processed",1110,Agricultural and livestock production
2652,"True hemp,raw or processed,not spun;tow and waste",1110,Agricultural and livestock production
2654,"Sisal & other fibres of agave family,raw or proce.",1110,Agricultural and livestock production
2655,"Manila hemp,raw or processed,not spun;tow & waste",1110,Agricultural and livestock production
2681,"Seep's or lambs' wool,greasy or fleece-washed",1110,Agricultural and livestock production
2682,"Sheep's or lambs'wool,degreased,in the mass",3211,"Spinning, weawing and finishing textiles"
2683,"Fine animal hair,not carded or combed",1110,Agricultural and livestock production
2687,"Sheep's/lamb's wool/other aimal hair,carded/combed",3211,"Spinning, weawing and finishing textiles"
2711,Guano & other natural animal/vegetable fertilizers,2902,Chemical and fertilizer mineral mining
2712,"Sodium nitrate,natural,contain.<16.3% of nitrogen",2902,Chemical and fertilizer mineral mining
2714,"Potassium salts,natural,crude",2902,Chemical and fertilizer mineral mining
2733,"Sands,natural,of all kinds,whether or not coloured",2901,"Stone quarrying, clay and sand pits"
2734,"Pebbles and crushed or broken stone,gravel,macadam",2901,"Stone quarrying, clay and sand pits"
2741,Sulphur of all kinds,2902,Chemical and fertilizer mineral mining
2742,"Iron pyrites,unroasted",2902,Chemical and fertilizer mineral mining
2771,"Industrial diamonds,sorted,whether or not worked",2909,Mining and quarrying not elsewhere classified
2783,"Common salt;rock sat,sea salt;pur.sodium chrloride",2903,Salt mining
2784,Asbestos,2909,Mining and quarrying not elsewhere classified
2814,"Roasted iron pyrites,whether or not agglomerated",3511,Manufacture of basic industrial chemicals except fertilizer
2815,"Iron ore and concentrates,not agglomerated",2301,Iron ore mining
2816,"Iron ore agglomerates (sinters,pellets,briquettes)",2301,Iron ore mining
2860,Ores and concentrates of uranium and thorium,2302,Non-ferrous metal ore mining
2874,Lead ores and concentrates,2302,Non-ferrous metal ore mining
2875,Zinc ores and concentrates,2302,Non-ferrous metal ore mining
2876,Tin ores and concentrates,2302,Non-ferrous metal ore mining
2877,Manganese ores and concentrates,2302,Non-ferrous metal ore mining
2881,"Ash & residues,contain.metals/metallic compounds",3720,Non-ferrous metal basic industries
2922,"Shellac,seed lac,stick lac,resins,gum-resins,etc.",1110,Agricultural and livestock production
2923,Veget.mater.of a kind used primar.for plaiting,1110,Agricultural and livestock production
2924,"Plants,seeds,fruit used in perfumery,pharmacy",1210,Forestry
2925,"Seeds,fruit & spores,nes,of a kind used for sowing",1110,Agricultural and livestock production
3221,"Anthracite,whether/not pulverized,not agglomerated",2100,Coal mining
3222,"Other coal,whether/not pulverized,not agglomerated",2100,Coal mining
3223,"Lignite,whether or not pulverized,not agglomerated",2100,Coal mining
3224,"Peat,whether/not compres.into bales not agglomera.",2909,Mining and quarrying not elsewhere classified
3330,Petrol.oils & crude oils obt.from bitumin.minerals,2200,Crude Petroleum and Natural Gas Production
3414,Petroleum gases and other gaseous hydrocarbons nes,2200,Crude Petroleum and Natural Gas Production
3415,"Coal gas,water gas,producer gas & similar gases",9999,Goods not elsewhere classified
3510,Electric current,4101,Electric light and power
4232,Soya bean oil,3115,Manufacture of vegetable and animal oils and fats
4233,Cotton seed oil,3115,Manufacture of vegetable and animal oils and fats
4234,Groundnut (peanut) oil,3115,Manufacture of vegetable and animal oils and fats
4235,Olive oil,3115,Manufacture of vegetable and animal oils and fats
4236,Sunflower seed oil,3115,Manufacture of vegetable and animal oils and fats
4241,Linseed oil,3115,Manufacture of vegetable and animal oils and fats
4242,Palm oil,3115,Manufacture of vegetable and animal oils and fats
4243,Coconut (copra) oil,3115,Manufacture of vegetable and animal oils and fats
4244,Palm kernel oil,3115,Manufacture of vegetable and animal oils and fats
4245,Castor oil,3115,Manufacture of vegetable and animal oils and fats
4249,"Fixed vegetable oils,n.e.s",3115,Manufacture of vegetable and animal oils and fats
4311,"Oils,animal & vegetable,boiled,oxidized, etc.",3115,Manufacture of vegetable and animal oils and fats
4312,"Anim./veget.oils & fats,wholly/partly hydrogenated",3115,Manufacture of vegetable and animal oils and fats
5114,Sulphon.nitrat./nitrosat.derivativ.of hydrocarbons,3511,Manufacture of basic industrial chemicals except fertilizer
5122,Cyclic.alcohols & their halogenated derivatives,3511,Manufacture of basic industrial chemicals except fertilizer
5139,"Carboxylic acids with alcohol,phenol etc.function",3511,Manufacture of basic industrial chemicals except fertilizer
5145,Amine-function compounds,3511,Manufacture of basic industrial chemicals except fertilizer
5146,Single or complex oxygen-function amino-compounds,3511,Manufacture of basic industrial chemicals except fertilizer
5147,Carboxyamide-function compounds;& other compounds,3511,Manufacture of basic industrial chemicals except fertilizer
5154,Organo-sulphur compounds,3511,Manufacture of basic industrial chemicals except fertilizer
5241,Fissile chemical elements and isotopes,3511,Manufacture of basic industrial chemicals except fertilizer
5311,Synthetic organic dyestuffs,3511,Manufacture of basic industrial chemicals except fertilizer
5323,"Synth.org.tanning substances,& inorg.tanning subst",3511,Manufacture of basic industrial chemicals except fertilizer
5331,"Other colouring matter,inorganic products",3511,Manufacture of basic industrial chemicals except fertilizer
5332,Printing ink,3529,Manufacture of chemical products not elsewhere classified
5411,"Provitamins & vitamins,narural/reprod.by synthesis",3522,Manufacture of drugs and medicines
5414,"Vegetab.alkaloids,natural/reproduced by synthesis",3522,Manufacture of drugs and medicines
5513,"Essential oils,concretes & absolutes;resinoids",3529,Manufacture of chemical products not elsewhere classified
5514,Mixtures of two or more odoriferous substances,3529,Manufacture of chemical products not elsewhere classified
5530,"Perfumery,cosmetics and toilet preparations",3523,"Manufacture of soap and cleaning preparations, perfumes, cosmetics and other toilet preparations"
5541,Soap;organic surface-active products & preparatns,3523,"Manufacture of soap and cleaning preparations, perfumes, cosmetics and other toilet preparations"
5542,"Organic surface-active agents,n.e.s.",3523,"Manufacture of soap and cleaning preparations, perfumes, cosmetics and other toilet preparations"
5543,"Polishes & creams,for footwear,furniture or floors",3523,"Manufacture of soap and cleaning preparations, perfumes, cosmetics and other toilet preparations"
5722,"Safety fuses,detonating fus.;percussion & det.caps",3529,Manufacture of chemical products not elsewhere classified
5723,"Pyrotechnic articles:(firework,railway fog etc.)",3529,Manufacture of chemical products not elsewhere classified
5827,Silicones,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
5829,"Other condensation,polycondensation/polyadd.produ.",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
5837,Polyvinyl acetate,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
5838,Ion exchangers of polymerization/copolymeriz.type,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
5839,Other polymerization and copolimerization products,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
5841,Regenerated cellulose,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
5911,Insecticides packed for sale etc.,3512,Manufacture of fertilizers and pesticides
5912,Fungicides packed for sale etc.,3512,Manufacture of fertilizers and pesticides
5913,Weed killers (herbicides)packed for sale etc.,3512,Manufacture of fertilizers and pesticides
5982,"Anti-knock preparations,oxidation inhibitors etc.",3529,Manufacture of chemical products not elsewhere classified
6112,"Composition leather fibre,in slabs etc.,sheets,etc",3231,Tanneries and leather finishing
6113,Calf leather,3231,Tanneries and leather finishing
6114,Leather of other bovine cattle and equine leather,3231,Tanneries and leather finishing
6115,Sheep and lamb skin leather,3231,Tanneries and leather finishing
6121,Articles of leather or of composition leather,3233,"Manufacture of products of leather and leather substitutes, except footwear and wearing apparel"
6122,"Saddlery and harness,or any material for animals",3233,"Manufacture of products of leather and leather substitutes, except footwear and wearing apparel"
6123,Parts of footwear,3233,"Manufacture of products of leather and leather substitutes, except footwear and wearing apparel"
6129,Other articles of leather or of composit. leather,3233,"Manufacture of products of leather and leather substitutes, except footwear and wearing apparel"
6130,"Furskins,tanned/dressed,pieces/cuttings of furskin",3232,Fur dessing and dyeing industries
6251,"Tyres,pneumatic,new,of a kind used on motor cars",3551,Tyre and tube industries
6252,"Tyres,pneumat.,new,of a kind used on buses,lorries",3551,Tyre and tube industries
6253,"Tyres,pneumatic,new,of a kind used on aircraft",3551,Tyre and tube industries
6254,"Tyres,pneum.new.of a kind used on motor/bicycles",3551,Tyre and tube industries
6281,Hygienic and pharmaceutical articles of rubber,3559,Manufacture of rubber products not elsewhere classified
6282,"Transmission,conveyor/elevator belts of rubber",3559,Manufacture of rubber products not elsewhere classified
6341,"Wood sawn lengthwise,sliced/peeled,but not prepar.",3311,"Sawmille, planing and other wood mills"
6342,Plywood consisting of sheets of wood,3311,"Sawmille, planing and other wood mills"
6351,"Wooden packing cases,boxes,crates,drums etc.",3312,Manufacture of wooden and cane containers and small can ware
6352,"Casks,barrels,vats,tubs,buckets & oth.coopers'prod",3312,Manufacture of wooden and cane containers and small can ware
6353,Builders' carpentry and joinery,3311,"Sawmille, planing and other wood mills"
6411,Newsprint,3411,"Manufacture of pulp, paper and paperboard"
6421,"Boxes,bags & oth.packing containers,of paper/papbd",3412,Manufacture of containers and boxes of paper and paperboard
6422,"Writing blocks,envelopes,etc.correspondence cards",3419,"Manufacture of pulp, paper and paperboard articles not elsewhere classified"
6423,"Registers,exercise books,note books,etc.",3420,"Printing, publishing and allied industries"
6532,"Fabrics,woven contain.85% of discontin.synth.fibr.",3211,"Spinning, weawing and finishing textiles"
6536,"Fabrics,woven contain.85% of discont.regener.fibr.",3211,"Spinning, weawing and finishing textiles"
6541,"Fabrics,woven,of silk,of noil or other waste silk",3211,"Spinning, weawing and finishing textiles"
6544,"Fabrics,woven,of flax or of ramie",3211,"Spinning, weawing and finishing textiles"
6545,"Fabrics,woven,of jute or of other textile bast fib",3211,"Spinning, weawing and finishing textiles"
6546,"Fabrics of glass fibre,pile fab.tulle,lace,knitted",3211,"Spinning, weawing and finishing textiles"
6571,"Felt & articl.of felt,nes,whether/not impregnated",3212,Manufacture of made-up textile goods except wea ing apparel
6572,"Bonded fibre fabrics,similar bonded yarn fabrics",3212,Manufacture of made-up textile goods except wea ing apparel
6581,"Sacks and bags,of textile materials",3212,Manufacture of made-up textile goods except wea ing apparel
6593,"Kelem,schumacks and karamanie rugs and the like",3214,Manufacture of carpets and rugs
6597,Plaits and similar products of plaiting materials,3214,Manufacture of carpets and rugs
6611,"Quicklime,slaked lime and hydraulic lime",3692,"Manufacture of cement, lime and plaster"
6612,"Portland cement,ciment fondu,slag cement etc.",3692,"Manufacture of cement, lime and plaster"
6631,"Hand polishing stones,whetstones,oilstones,hones",3699,Manufacture of non-metallic mineral products not elsewhere classified
6632,Natural or artificial abrasive powder or grain,3699,Manufacture of non-metallic mineral products not elsewhere classified
6635,"Slag wool,rock wool and similar mineral wools",3699,Manufacture of non-metallic mineral products not elsewhere classified
6637,"Refractory goods(eg.,retorts,crucibles etc ) n.e.s",3699,Manufacture of non-metallic mineral products not elsewhere classified
6642,Optical glass and elements of optical glass,3620,Manufacture of glass and glass products
6643,"Drawn or blown glass,unworked,in rectangles",3620,Manufacture of glass and glass products
6644,"Cast,rolled,drawn or blown glass,in rectangles",3620,Manufacture of glass and glass products
6645,"Cast or rolled glass,unworked,whether figured/not",3620,Manufacture of glass and glass products
6647,Safety glass consisting of toughened/laminat.glass,3620,Manufacture of glass and glass products
6648,"Glass mirrors(incl.rear-view mir.),unframed,framed",3620,Manufacture of glass and glass products
6652,"Glassware used for table,kitchen,indoor decoration",3620,Manufacture of glass and glass products
6664,Tableware & other articles of porcelain or china,3610,"Manufacture of pottery, china and earthenware"
6665,Tableware & other articles of oth.kinds of pottery,3610,"Manufacture of pottery, china and earthenware"
6666,"Statuettes & oth.ornaments,& articles of adornment",3610,"Manufacture of pottery, china and earthenware"
6671,"Pearls,unworked/worked,not mounted,set or strung",1301,Ocean and coastal fishing
6673,"Oth.precious & semi-precious stones,unwork.cut etc",3901,Manufacture of jewellery and related articles
6674,Synthetic/reconstructed precious/semi-prec.stones,3511,Manufacture of basic industrial chemicals except fertilizer
6712,"Pig iron,cast iron and spiegeleisen,in pigs,blocks",3710,Iron and steel basic industries
6747,"Tinned sheets and plates,of steel",3710,Iron and steel basic industries
6781,"Tubes and pipes,of cast iron",3710,Iron and steel basic industries
6782,seamlesstubes and pipes;blanks for tubes & pipes,3710,Iron and steel basic industries
6783,"Other tubes and pipes,of iron or steel",3710,Iron and steel basic industries
6785,"Tube & pipe fittings(joints,elbows)of iron/steel",3710,Iron and steel basic industries
6793,"Steel & iron forgings & stampings,in rough state",3710,Iron and steel basic industries
6831,"Nickel & nickel alloys,unwrought (ingots,pigs,etc)",3720,Non-ferrous metal basic industries
6841,"Aluminium and aluminium alloys,unwrought",3720,Non-ferrous metal basic industries
6861,"Zinc and zinc alloys,unwrought",3720,Non-ferrous metal basic industries
6871,"Tin and tin alloys,unwrought",3720,Non-ferrous metal basic industries
6880,"Uranium depleted in u235 & thorium,& their alloys",3720,Non-ferrous metal basic industries
6911,Structures & parts of struc.;iron/steel;plates,3813,Manufacture of structural metal products
6912,"Structures & parts of struc.;aluminium;plates,rods",3813,Manufacture of structural metal products
6932,"Wire,twisted hoop for fencing of iron or steel",3710,Iron and steel basic industries
6951,Hand tools of a kind used in agriculture etc,3811,"Manufacture of cutlery, hand tools and general hardware"
6992,"Chain and parts thereof,of iron or steel",3819,Manufacture of fabricated metal products except machinery and equipement not elsewhere classified
7111,Steam & other vapour generating boilers,3813,Manufacture of structural metal products
7112,"Auxiliary plant for use with boilers,of 711.1-",3813,Manufacture of structural metal products
7126,"Steam & other vapour power units,steam engines",3821,Manufacture of engines and turbines
7129,Parts of the power units of 712.6-,3821,Manufacture of engines and turbines
7132,Int.combustion piston engines for propelling veh.,3843,Manufacture of motor vehicles
7138,"Int.comb.piston engines,n.e.s.",3821,Manufacture of engines and turbines
7139,Parts of int.comb.piston engines of 713.2-/3-/8-,3829,Machinery and equipment except electrical not elsewhere classified
7144,Reaction engines,3845,Manufacture of aircraft
7161,"Motors & generators,direct current",3831,Manufacture of electrical industrial machinery and apparatus
7163,Rotary converters,3831,Manufacture of electrical industrial machinery and apparatus
7169,Parts of rotating electric plant,3831,Manufacture of electrical industrial machinery and apparatus
7187,Nuclear reactors and parts,3813,Manufacture of structural metal products
7223,Track-laying tractors,3822,Manufacture of agricultural machinery and equipment
7224,"Wheeled tractors,not incl. in 744.11/783.2-",3822,Manufacture of agricultural machinery and equipment
7233,"Road rollers,mechanically propelled",3824,Manufacture of special industrial machinery and equipment except metal and wood working machinery
7239,Parts of the machinery of 723.41 to 723.46,3824,Manufacture of special industrial machinery and equipment except metal and wood working machinery
7248,"Mach.for preparing,tanning or working hides",3824,Manufacture of special industrial machinery and equipment except metal and wood working machinery
7252,Paper & paperboard cutting mach.of all kinds,3824,Manufacture of special industrial machinery and equipment except metal and wood working machinery
7367,Other mach.-tools for working metal or met.carbide,3823,Manufacture of metal and wood working machinery
7368,"Work holders,self-opening dieheads & tool holders",3823,Manufacture of metal and wood working machinery
7369,Parts of the machine-tools of 736--,3823,Manufacture of metal and wood working machinery
7411,Producer gas and water gas generators and parts,3829,Machinery and equipment except electrical not elsewhere classified
7412,Furnace burners for liquid fuel and parts,3829,Machinery and equipment except electrical not elsewhere classified
7415,Air conditioning mach.self-contained and parts,3829,Machinery and equipment except electrical not elsewhere classified
7416,Mach.plant & sim.lab.equip.involv.a temp.change,3829,Machinery and equipment except electrical not elsewhere classified
7421,"Reciprocating pumps,other than 742.81",3829,Machinery and equipment except electrical not elsewhere classified
7422,"Centrifugal pumps,other than 742.81",3829,Machinery and equipment except electrical not elsewhere classified
7423,"Rotary pumps,other than 742.81",3829,Machinery and equipment except electrical not elsewhere classified
7429,Parts of the pumps & liq.elevators of 742--,3829,Machinery and equipment except electrical not elsewhere classified
7431,"Air pumps,vacuum pumps & compressors",3829,Machinery and equipment except electrical not elsewhere classified
7434,"Fans,blowers and the like,and parts",3829,Machinery and equipment except electrical not elsewhere classified
7435,Centrifuges,3829,Machinery and equipment except electrical not elsewhere classified
7436,Filtering & purifying mach.for liquids & gases,3829,Machinery and equipment except electrical not elsewhere classified
7439,"Parts of the machines of 743.5-,743.6-",3829,Machinery and equipment except electrical not elsewhere classified
7449,Parts of the machinery of 744.2-,3829,Machinery and equipment except electrical not elsewhere classified
7491,"Ball,roller or needle roller bearings",3829,Machinery and equipment except electrical not elsewhere classified
7492,"Taps,cocks,valves etc.for pipes,tanks,vats etc",3829,Machinery and equipment except electrical not elsewhere classified
7493,"Transmission shafts,cranks,bearing housings etc.",3829,Machinery and equipment except electrical not elsewhere classified
7521,Analogue & hybrid data processing machines,3825,"Manufacture of office, computing and accounting machinery"
7522,Complete digital data processing machines,3825,"Manufacture of office, computing and accounting machinery"
7523,Complete digital central processing units,3825,"Manufacture of office, computing and accounting machinery"
7524,"Digital central storage units,separately consigned",3825,"Manufacture of office, computing and accounting machinery"
7525,"Peripheral units,incl.control & adapting units",3825,"Manufacture of office, computing and accounting machinery"
7528,Off-line data processing equipment. n.e.s.,3825,"Manufacture of office, computing and accounting machinery"
7599,"Parts of and accessories suitable for 751.2-,752--",3825,"Manufacture of office, computing and accounting machinery"
7611,"Television receivers,colour",3832,"Manufacture of radio, television and communication equipment and apparatus"
7612,"Television receivers,monochrome",3832,"Manufacture of radio, television and communication equipment and apparatus"
7621,Radio-broadcast receivers for motor vehicles,3832,"Manufacture of radio, television and communication equipment and apparatus"
7622,"Radio-broadcast receivers portable,incl.sound rec.",3832,"Manufacture of radio, television and communication equipment and apparatus"
7628,Other radio-broadcast receivers,3832,"Manufacture of radio, television and communication equipment and apparatus"
7641,Elect.line telephonic & telegraphic apparatus,3832,"Manufacture of radio, television and communication equipment and apparatus"
7642,"Microphones,loudspeakers,amplifiers",3832,"Manufacture of radio, television and communication equipment and apparatus"
7643,Radiotelegraphic & radiotelephonic transmitters,3832,"Manufacture of radio, television and communication equipment and apparatus"
7721,"Elect.app.such as switches,relays,fuses,plugs etc.",3831,Manufacture of electrical industrial machinery and apparatus
7722,Printed circuits and parts thereof,3831,Manufacture of electrical industrial machinery and apparatus
7723,"Resistors,fixed or variable and parts",3831,Manufacture of electrical industrial machinery and apparatus
7731,"Insulated,elect.wire,cable,bars,strip and the like",3839,Manufacture of electrical apparatus and supplies not elsewhere classified
7741,Electro-medical apparatus,3832,"Manufacture of radio, television and communication equipment and apparatus"
7742,App.based on the use of x-rays or of radiations,3832,"Manufacture of radio, television and communication equipment and apparatus"
7753,Dish washing machines of household type,3833,Manufacture of electrical appliances and housewares
7754,Shavers & hair clippers with motor and parts,3833,Manufacture of electrical appliances and housewares
7761,"Television picture tubes,cathode ray",3832,"Manufacture of radio, television and communication equipment and apparatus"
7762,Other electr.valves and tubes,3832,"Manufacture of radio, television and communication equipment and apparatus"
7763,"Diodes,transistors and sim.semi-conductor devices",3832,"Manufacture of radio, television and communication equipment and apparatus"
7764,Electronic microcircuits,3832,"Manufacture of radio, television and communication equipment and apparatus"
7784,Tools for working in the hand with elect.motor,3823,Manufacture of metal and wood working machinery
7810,"Passenger motor cars,for transport of pass.& goods",3843,Manufacture of motor vehicles
7821,Motor vehicles for transport of goods/materials,3843,Manufacture of motor vehicles
7822,Special purpose motor lorries and vans,3843,Manufacture of motor vehicles
7831,Public-service type passenger motor vehicles etc.,3843,Manufacture of motor vehicles
7832,Road tractors and semi-trailers,3843,Manufacture of motor vehicles
7841,Chassis fitted with engines for motor vehicles,3843,Manufacture of motor vehicles
7842,Bodies for the motor vehicles of 722/781/782/783,3843,Manufacture of motor vehicles
7849,Other parts & accessories of motor vehicles,3843,Manufacture of motor vehicles
7851,"Motorcycles,auto-cycles and cycles with an aux.mot",3844,Manufacture of motorcycles and bicycles
7852,"Cyles,not motorized",3844,Manufacture of motorcycles and bicycles
7911,"Rail locomotives,electric",3842,Manufacture of railroad equipment
7912,Other rail locomotives; tenders,3842,Manufacture of railroad equipment
7913,"Railway & tramway coaches,vans,trucks etc.",3842,Manufacture of railroad equipment
7914,Railway & tramway passenger coaches & luggage vans,3842,Manufacture of railroad equipment
7921,Helicopters,3845,Manufacture of aircraft
7922,Aircraft not exceeding an unladen weight 2000 kg,3845,Manufacture of aircraft
7923,Aircraft not exceeding an unladen weight 15000 kg,3845,Manufacture of aircraft
7924,Aircraft exceeding an unladen weight of 15000 kg,3845,Manufacture of aircraft
7929,"Parts of heading 792--,excl.tyres,engines",3845,Manufacture of aircraft
7931,Warships of all kinds,3841,Shipbuilding and repairing
7933,"Ships,boats and other vessels for breaking up",3841,Shipbuilding and repairing
8121,Boilers & radiators for central heating,3819,Manufacture of fabricated metal products except machinery and equipement not elsewhere classified
8122,"Sinks,wash basins,bidets,water closet pans,etc",3610,"Manufacture of pottery, china and earthenware"
8481,"Art.of apparel & clothing accessories,of leather",3220,"Manufacture of wearing apparel, except footwear"
8731,"Gas,liquid,electricity meters",3851,"Manufacture of professional and scientific, and measuring and controlling equipment not elsewhere cl"
8732,"Revolution counters,taximeters and the like",3851,"Manufacture of professional and scientific, and measuring and controlling equipment not elsewhere cl"
