HS2007,BEC
0401.20,112
0401.30,112
0402.10,121
0402.21,122
0402.29,122
0402.91,122
0402.99,122
0403.10,112
0403.90,112
0404.10,121
0404.90,121
0405.10,122
0405.20,122
0405.90,122
0406.10,122
0406.20,122
0406.30,122
0406.40,122
0406.90,122
0407.00,112
0408.11,121
0408.19,121
0408.91,121
0408.99,121
0409.00,112
0410.00,122
0501.00,21
0502.10,21
0502.90,21
0504.00,21
0505.10,21
0505.90,21
0506.10,21
0506.90,21
0507.10,21
0507.90,21
0508.00,21
0510.00,21
0511.10,21
0511.91,21
0511.99,21
0601.10,21
0601.20,21
0602.10,21
0602.20,21
0602.30,21
0602.40,21
0602.90,21
0603.11,63
0603.12,63
0603.13,63
0603.14,63
0603.19,63
0603.90,63
0604.10,21
0604.91,21
0604.99,21
0701.10,21
0701.90,112
0702.00,112
0703.10,112
0703.20,112
0703.90,112
0704.10,112
0704.20,112
0704.90,112
0705.11,112
0705.19,112
0705.21,112
0705.29,112
0706.10,112
0706.90,112
0707.00,112
0708.10,112
0708.20,112
0708.90,112
0709.20,112
0709.30,112
0709.40,112
0709.51,112
0709.59,112
0709.60,112
0709.70,112
0709.90,112
0710.10,112
0710.21,112
0710.22,112
0710.29,112
0710.30,112
0710.40,112
0710.80,112
0710.90,112
0711.20,122
0711.40,122
0711.51,122
0711.59,122
0711.90,122
0712.20,122
0712.31,122
0712.32,122
0712.33,122
0712.39,122
0712.90,122
0713.10,112
0713.20,112
0713.31,112
0713.32,112
0713.33,112
0713.39,112
0713.40,112
0713.50,112
0713.90,112
0714.10,112
0714.20,112
0714.90,112
0801.11,111
0801.19,111
0801.21,112
0801.22,112
0801.31,112
0801.32,112
0802.11,112
0802.12,112
0802.21,112
0802.22,112
0802.31,112
0802.32,112
0802.40,112
0802.50,112
0802.60,112
0802.90,112
0803.00,112
0804.10,112
0804.20,112
0804.30,112
0804.40,112
0804.50,112
0805.10,112
0805.20,112
0805.40,112
0805.50,112
0805.90,112
0806.10,112
0806.20,112
0807.11,112
0807.19,112
0807.20,112
0808.10,112
0808.20,112
0809.10,112
0809.20,112
0809.30,112
0809.40,112
0810.10,112
0810.20,112
0810.40,112
0810.50,112
0810.60,112
0810.90,112
0811.10,112
0811.20,112
0811.90,112
0812.10,111
0812.90,111
0813.10,112
0813.20,112
0813.30,112
0813.40,112
0813.50,112
0814.00,111
0901.11,111
0901.12,111
0901.21,122
0901.22,122
0901.90,122
0902.10,112
0902.20,112
0902.30,112
0902.40,112
0903.00,112
0904.11,112
0904.12,112
0904.20,112
0905.00,112
0906.11,112
0906.19,112
0906.20,112
0907.00,112
0908.10,112
0908.20,112
0908.30,112
0909.10,112
0909.20,112
0909.30,112
0909.40,112
0909.50,112
0910.10,112
0910.20,112
0910.30,112
0910.91,112
0910.99,112
1001.10,111
1001.90,111
1002.00,111
1003.00,111
1004.00,21
1005.10,21
1005.90,21
1006.10,111
1006.20,111
1006.30,122
1006.40,122
1007.00,111
1008.10,111
1008.20,111
1008.30,111
1008.90,111
1101.00,121
1102.10,121
1102.20,121
1102.90,121
1103.11,121
1103.13,121
1103.19,121
1103.20,121
1104.12,122
1104.19,122
1104.22,122
1104.23,122
1104.29,122
1104.30,122
1105.10,121
1105.20,121
1106.10,121
1106.20,121
1106.30,121
1107.10,121
1107.20,121
1108.11,22
1108.12,22
1108.13,22
1108.14,22
1108.19,22
1108.20,22
1109.00,121
1201.00,111
1202.10,111
1202.20,111
1203.00,111
1204.00,21
1205.10,111
1205.90,111
1206.00,111
1207.20,111
1207.40,111
1207.50,111
1207.91,111
1207.99,21
1208.10,121
1208.90,121
1209.10,21
1209.21,21
1209.22,21
1209.23,21
1209.24,21
1209.25,21
1209.29,21
1209.30,21
1209.91,21
1209.99,21
1210.10,111
1210.20,111
1211.20,21
1211.30,21
1211.40,21
1211.90,21
1212.20,21
1212.91,111
1212.99,111
1213.00,21
1214.10,21
1214.90,21
1301.20,21
1301.90,21
1302.11,21
1302.12,21
1302.13,21
1302.19,21
1302.20,21
1302.31,22
1302.32,22
1302.39,22
1401.10,21
1401.20,21
1401.90,21
1404.20,21
1404.90,21
1501.00,22
1502.00,22
1503.00,22
1504.10,22
1504.20,121
1504.30,121
1505.00,22
1506.00,22
1507.10,121
1507.90,122
1508.10,121
1508.90,122
1509.10,122
1509.90,122
1510.00,121
1511.10,121
1511.90,121
1512.11,121
1512.19,122
1512.21,121
1512.29,121
1513.11,121
1513.19,121
1513.21,121
1513.29,121
1514.11,121
1514.19,122
1514.91,121
1514.99,122
1515.11,22
1515.19,22
1515.21,121
1515.29,122
1515.30,22
1515.50,121
1515.90,22
1516.10,121
1516.20,121
1517.10,122
1517.90,122
1518.00,22
1520.00,22
1521.10,22
1521.90,22
1522.00,21
1601.00,122
1602.10,122
1602.20,122
1602.31,122
1602.32,122
1602.39,122
1602.41,122
1602.42,122
1602.49,122
1602.50,122
1602.90,122
1603.00,121
1604.11,122
1604.12,122
1604.13,122
1604.14,122
1604.15,122
1604.16,122
1604.19,122
1604.20,122
1604.30,122
1605.10,122
1605.20,122
1605.30,122
1605.40,122
1605.90,122
1701.11,121
1701.12,121
1701.91,121
1701.99,122
1702.11,121
1702.19,121
1702.20,122
1702.30,121
1702.40,121
1702.50,121
1702.60,121
1702.90,121
1703.10,121
1703.90,121
1704.10,122
1704.90,122
1801.00,111
1802.00,21
1803.10,121
1803.20,121
1804.00,121
1805.00,121
1806.10,122
1806.20,121
1806.31,122
1806.32,122
1806.90,122
1901.10,122
1901.20,122
1901.90,121
1902.11,122
1902.19,122
1902.20,122
1902.30,122
1902.40,122
1903.00,121
1904.10,122
1904.20,122
1904.30,122
1904.90,122
1905.10,122
1905.20,122
1905.31,122
1905.32,122
1905.40,122
1905.90,122
2001.10,122
2001.90,122
2002.10,122
2002.90,122
2003.10,122
2003.20,122
2003.90,122
2004.10,122
2004.90,122
2005.10,122
2005.20,122
2005.40,122
2005.51,122
2005.59,122
2005.60,122
2005.70,122
2005.80,122
2005.91,122
2005.99,122
2006.00,122
2007.10,122
2007.91,122
2007.99,122
2008.11,122
2008.19,122
2008.20,122
2008.30,122
2008.40,122
2008.50,122
2008.60,122
2008.70,122
2008.80,122
2008.91,122
2008.92,122
2008.99,122
2009.11,122
2009.12,122
2009.19,122
2009.21,122
2009.29,122
2009.31,122
2009.39,122
2009.41,122
2009.49,122
2009.50,122
2009.61,122
2009.69,122
2009.71,122
2009.79,122
2009.80,122
2009.90,122
2101.11,122
2101.12,122
2101.20,122
2101.30,122
2102.10,121
2102.20,121
2102.30,121
2103.10,122
2103.20,122
2103.30,122
2103.90,122
2104.10,122
2104.20,122
2105.00,122
2106.10,122
2106.90,122
2201.10,122
2201.90,122
2202.10,122
2202.90,122
2203.00,122
2204.10,122
2204.21,122
2204.29,122
2204.30,121
2205.10,122
2205.90,122
2206.00,122
2207.10,22
2207.20,22
2208.20,122
2208.30,122
2208.40,122
2208.50,122
2208.60,122
2208.70,122
2208.90,122
2209.00,122
2301.10,22
2301.20,22
2302.10,121
2302.30,121
2302.40,121
2302.50,121
2303.10,21
2303.20,21
2303.30,21
2304.00,22
2305.00,22
2306.10,22
2306.20,22
2306.30,22
2306.41,22
2306.49,22
2306.50,22
2306.60,22
2306.90,22
2307.00,121
2308.00,21
2309.10,63
2309.90,22
2401.10,21
2401.20,21
2401.30,21
2402.10,63
2402.20,63
2402.90,63
2403.10,63
2403.91,63
2403.99,22
2501.00,21
2502.00,21
2503.00,21
2504.10,21
2504.90,21
2505.10,21
2505.90,21
2506.10,21
2506.20,21
2507.00,21
2508.10,21
2508.30,21
2508.40,21
2508.50,21
2508.60,21
2508.70,21
2509.00,21
2510.10,21
2510.20,21
2511.10,21
2511.20,21
2512.00,21
2513.10,21
2513.20,21
2514.00,21
2515.11,21
2515.12,21
2515.20,21
2516.11,21
2516.12,21
2516.20,21
2516.90,21
2517.10,21
2517.20,21
2517.30,21
2517.41,21
2517.49,21
2518.10,21
2518.20,21
2518.30,21
2519.10,21
2519.90,21
2520.10,21
2520.20,22
2521.00,21
2522.10,22
2522.20,22
2522.30,22
2523.10,22
2523.21,22
2523.29,22
2523.30,22
2523.90,22
2524.10,21
2524.90,21
2525.10,21
2525.20,21
2525.30,21
2526.10,21
2526.20,21
2528.10,21
2528.90,21
2529.10,21
2529.21,21
2529.22,21
2529.30,21
2530.10,21
2530.20,21
2530.90,21
2601.11,21
2601.12,21
2601.20,21
2602.00,21
2603.00,21
2604.00,21
2605.00,21
2606.00,21
2607.00,21
2608.00,21
2609.00,21
2610.00,21
2611.00,21
2612.10,21
2612.20,21
2613.10,21
2613.90,21
2614.00,21
2615.10,21
2615.90,21
2616.10,21
2616.90,21
2617.10,21
2617.90,21
2618.00,21
2619.00,21
2620.11,21
2620.19,21
2620.21,21
2620.29,21
2620.30,21
2620.40,21
2620.60,21
2620.91,21
2620.99,21
2621.10,21
2621.90,21
2701.11,31
2701.12,31
2701.19,31
2701.20,322
2702.10,31
2702.20,322
2703.00,31
2704.00,322
2705.00,322
2706.00,22
2707.10,22
2707.20,22
2707.30,22
2707.40,22
2707.50,22
2707.91,22
2707.99,22
2708.10,22
2708.20,22
2709.00,31
2710.11,32
2710.19,32
2710.91,21
2710.99,21
2711.11,322
2711.12,322
2711.13,322
2711.14,322
2711.19,322
2711.21,31
2711.29,31
2712.10,22
2712.20,22
2712.90,22
2713.11,22
2713.12,22
2713.20,22
2713.90,22
2714.10,21
2714.90,21
2715.00,22
2716.00,322
2801.10,22
2801.20,22
2801.30,22
2802.00,22
2803.00,22
2804.10,22
2804.21,22
2804.29,22
2804.30,22
2804.40,22
2804.50,22
2804.61,22
2804.69,22
2804.70,22
2804.80,22
2804.90,22
2805.11,22
2805.12,22
2805.19,22
2805.30,22
2805.40,22
2806.10,22
2806.20,22
2807.00,22
2808.00,22
2809.10,22
2809.20,22
2810.00,22
2811.11,22
2811.19,22
2811.21,22
2811.22,22
2811.29,22
2812.10,22
2812.90,22
2813.10,22
2813.90,22
2814.10,22
2814.20,22
2815.11,22
2815.12,22
2815.20,22
2815.30,22
2816.10,22
2816.40,22
2817.00,22
2818.10,22
2818.20,22
2818.30,22
2819.10,22
2819.90,22
2820.10,22
2820.90,22
2821.10,22
2821.20,22
2822.00,22
2823.00,22
2824.10,22
2824.90,22
2825.10,22
2825.20,22
2825.30,22
2825.40,22
2825.50,22
2825.60,22
2825.70,22
2825.80,22
2825.90,22
2826.12,22
2826.19,22
2826.30,22
2826.90,22
2827.10,22
2827.20,22
2827.31,22
2827.32,22
2827.35,22
2827.39,22
2827.41,22
2827.49,22
2827.51,22
2827.59,22
2827.60,22
2828.10,22
2828.90,22
2829.11,22
2829.19,22
2829.90,22
2830.10,22
2830.90,22
2831.10,22
2831.90,22
2832.10,22
2832.20,22
2832.30,22
2833.11,22
2833.19,22
2833.21,22
2833.22,22
2833.24,22
2833.25,22
2833.27,22
2833.29,22
2833.30,22
2833.40,22
2834.10,22
2834.21,22
2834.29,22
2835.10,22
2835.22,22
2835.24,22
2835.25,22
2835.26,22
2835.29,22
2835.31,22
2835.39,22
2836.20,22
2836.30,22
2836.40,22
2836.50,22
2836.60,22
2836.91,22
2836.92,22
2836.99,22
2837.11,22
2837.19,22
2837.20,22
2839.11,22
2839.19,22
2839.90,22
2840.11,22
2840.19,22
2840.20,22
2840.30,22
2841.30,22
2841.50,22
2841.61,22
2841.69,22
2841.70,22
2841.80,22
2841.90,22
2842.10,22
2842.90,22
2843.10,22
2843.21,22
2843.29,22
2843.30,22
2843.90,22
2844.10,22
2844.20,22
2844.30,22
2844.40,22
2844.50,21
2845.10,22
2845.90,22
2846.10,22
2846.90,22
2847.00,22
2848.00,22
2849.10,22
2849.20,22
2849.90,22
2850.00,22
2852.00,22
2853.00,22
2901.10,22
2901.21,22
2901.22,22
2901.23,22
2901.24,22
2901.29,22
2902.11,22
2902.19,22
2902.20,22
2902.30,22
2902.41,22
2902.42,22
2902.43,22
2902.44,22
2902.50,22
2902.60,22
2902.70,22
2902.90,22
2903.11,22
2903.12,22
2903.13,22
2903.14,22
2903.15,22
2903.19,22
2903.21,22
2903.22,22
2903.23,22
2903.29,22
2903.31,22
2903.39,22
2903.41,22
2903.42,22
2903.43,22
2903.44,22
2903.45,22
2903.46,22
2903.47,22
2903.49,22
2903.51,22
2903.52,22
2903.59,22
2903.61,22
2903.62,22
2903.69,22
2904.10,22
2904.20,22
2904.90,22
2905.11,22
2905.12,22
2905.13,22
2905.14,22
2905.16,22
2905.17,22
2905.19,22
2905.22,22
2905.29,22
2905.31,22
2905.32,22
2905.39,22
2905.41,22
2905.42,22
2905.43,22
2905.44,22
2905.45,22
2905.49,22
2905.51,22
2905.59,22
2906.11,22
2906.12,22
2906.13,22
2906.19,22
2906.21,22
2906.29,22
2907.11,22
2907.12,22
2907.13,22
2907.15,22
2907.19,22
2907.21,22
2907.22,22
2907.23,22
2907.29,22
2908.11,22
2908.19,22
2908.91,22
2908.99,22
2909.11,22
2909.19,22
2909.20,22
2909.30,22
2909.41,22
2909.43,22
2909.44,22
2909.49,22
2909.50,22
2909.60,22
2910.10,22
2910.20,22
2910.30,22
2910.40,22
2910.90,22
2911.00,22
2912.11,22
2912.12,22
2912.19,22
2912.21,22
2912.29,22
2912.30,22
2912.41,22
2912.42,22
2912.49,22
2912.50,22
2912.60,22
2913.00,22
2914.11,22
2914.12,22
2914.13,22
2914.19,22
2914.21,22
2914.22,22
2914.23,22
2914.29,22
2914.31,22
2914.39,22
2914.40,22
2914.50,22
2914.61,22
2914.69,22
2914.70,22
2915.11,22
2915.12,22
2915.13,22
2915.21,22
2915.24,22
2915.29,22
2915.31,22
2915.32,22
2915.33,22
2915.36,22
2915.39,22
2915.40,22
2915.50,22
2915.60,22
2915.70,22
2915.90,22
2916.11,22
2916.12,22
2916.13,22
2916.14,22
2916.15,22
2916.19,22
2916.20,22
2916.31,22
2916.32,22
2916.34,22
2916.35,22
2916.36,22
2916.39,22
2917.11,22
2917.12,22
2917.13,22
2917.14,22
2917.19,22
2917.20,22
2917.32,22
2917.33,22
2917.34,22
2917.35,22
2917.36,22
2917.37,22
2917.39,22
2918.11,22
2918.12,22
2918.13,22
2918.14,22
2918.15,22
2918.16,22
2918.18,22
2918.19,22
2918.21,22
2918.22,22
2918.23,22
2918.29,22
2918.30,22
2918.91,22
2918.99,22
2919.10,22
2919.90,22
2920.11,22
2920.19,22
2920.90,22
2921.11,22
2921.19,22
2921.21,22
2921.22,22
2921.29,22
2921.30,22
2921.41,22
2921.42,22
2921.43,22
2921.44,22
2921.45,22
2921.46,22
2921.49,22
2921.51,22
2921.59,22
2922.11,22
2922.12,22
2922.13,22
2922.14,22
2922.19,22
2922.21,22
2922.29,22
2922.31,22
2922.39,22
2922.41,22
2922.42,22
2922.43,22
2922.44,22
2922.49,22
2922.50,22
2923.10,22
2923.20,22
2923.90,22
2924.11,22
2924.12,22
2924.19,22
2924.21,22
2924.23,22
2924.24,22
2924.29,22
2925.11,22
2925.12,22
2925.19,22
2925.21,22
2925.29,22
2926.10,22
2926.20,22
2926.30,22
2926.90,22
2927.00,22
2928.00,22
2929.10,22
2929.90,22
2930.20,22
2930.30,22
2930.40,22
2930.50,22
2930.90,22
2931.00,22
2932.11,22
2932.12,22
2932.13,22
2932.19,22
2932.21,22
2932.29,22
2932.91,22
2932.92,22
2932.93,22
2932.94,22
2932.95,22
2932.99,22
2933.11,22
2933.19,22
2933.21,22
2933.29,22
2933.31,22
2933.32,22
2933.33,22
2933.39,22
2933.41,22
2933.49,22
2933.52,22
2933.53,22
2933.54,22
2933.55,22
2933.59,22
2933.61,22
2933.69,22
2933.71,22
2933.72,22
2933.79,22
2933.91,22
2933.99,22
2934.10,22
2934.20,22
2934.30,22
2934.91,22
2934.99,22
2935.00,22
2936.21,22
2936.22,22
2936.23,22
2936.24,22
2936.25,22
2936.26,22
2936.27,22
2936.28,22
2936.29,22
2936.90,22
2937.11,22
2937.12,22
2937.19,22
2937.21,22
2937.22,22
2937.23,22
2937.29,22
2937.31,22
2937.39,22
2937.40,22
2937.50,22
2937.90,22
2938.10,22
2938.90,22
2939.11,22
2939.19,22
2939.20,22
2939.30,22
2939.41,22
2939.42,22
2939.43,22
2939.49,22
2939.51,22
2939.59,22
2939.61,22
2939.62,22
2939.63,22
2939.69,22
2939.91,22
2939.99,22
2940.00,22
2941.10,22
2941.20,22
2941.30,22
2941.40,22
2941.50,22
2941.90,22
2942.00,22
3001.20,22
3001.90,22
3002.10,22
3002.20,22
3002.30,22
3002.90,22
3003.10,22
3003.20,22
3003.31,22
3003.39,22
3003.40,22
3003.90,22
3004.10,63
3004.20,63
3004.31,63
3004.32,63
3004.39,63
3004.40,63
3004.50,63
3004.90,63
3005.10,22
3005.90,22
3006.10,22
3006.20,22
3006.30,22
3006.40,22
3006.50,22
3006.60,63
3006.70,22
3006.91,62
3006.92,21
3101.00,21
3102.10,22
3102.21,22
3102.29,22
3102.30,22
3102.40,22
3102.50,21
3102.60,22
3102.80,22
3102.90,22
3103.10,22
3103.90,22
3104.20,22
3104.30,22
3104.90,22
3105.10,22
3105.20,22
3105.30,22
3105.40,22
3105.51,22
3105.59,22
3105.60,22
3105.90,22
3201.10,22
3201.20,22
3201.90,22
3202.10,22
3202.90,22
3203.00,22
3204.11,22
3204.12,22
3204.13,22
3204.14,22
3204.15,22
3204.16,22
3204.17,22
3204.19,22
3204.20,22
3204.90,22
3205.00,22
3206.11,22
3206.19,22
3206.20,22
3206.41,22
3206.42,22
3206.49,22
3206.50,22
3207.10,22
3207.20,22
3207.30,22
3207.40,22
3208.10,22
3208.20,22
3208.90,22
3209.10,22
3209.90,22
3210.00,22
3211.00,22
3212.10,22
3212.90,22
3213.10,63
3213.90,63
3214.10,22
3214.90,22
3215.11,22
3215.19,22
3215.90,22
3301.12,22
3301.13,22
3301.19,22
3301.24,22
3301.25,22
3301.29,22
3301.30,22
3301.90,22
3302.10,22
3302.90,22
3303.00,63
3304.10,63
3304.20,63
3304.30,63
3304.91,63
3304.99,63
3305.10,63
3305.20,63
3305.30,63
3305.90,63
3306.10,63
3306.20,63
3306.90,63
3307.10,63
3307.20,63
3307.30,63
3307.41,63
3307.49,63
3307.90,63
3401.11,63
3401.19,63
3401.20,63
3401.30,63
3402.11,22
3402.12,22
3402.13,22
3402.19,22
3402.20,63
3402.90,22
3403.11,322
3403.19,322
3403.91,322
3403.99,322
3404.20,22
3404.90,22
3405.10,63
3405.20,63
3405.30,63
3405.40,63
3405.90,63
3406.00,63
3407.00,22
3501.10,22
3501.90,22
3502.11,111
3502.19,111
3502.20,22
3502.90,22
3503.00,22
3504.00,22
3505.10,22
3505.20,22
3506.10,63
3506.91,22
3506.99,22
3507.10,121
3507.90,22
3601.00,22
3602.00,22
3603.00,22
3604.10,22
3604.90,22
3605.00,63
3606.10,63
3606.90,22
3701.10,22
3701.20,22
3701.30,22
3701.91,22
3701.99,22
3702.10,22
3702.31,22
3702.32,22
3702.39,22
3702.41,22
3702.42,22
3702.43,22
3702.44,22
3702.51,63
3702.52,63
3702.53,63
3702.54,63
3702.55,22
3702.56,22
3702.91,63
3702.93,63
3702.94,22
3702.95,22
3703.10,22
3703.20,22
3703.90,22
3704.00,22
3705.10,22
3705.90,22
3706.10,22
3706.90,22
3707.10,22
3707.90,22
3801.10,22
3801.20,22
3801.30,22
3801.90,22
3802.10,22
3802.90,22
3803.00,22
3804.00,22
3805.10,22
3805.90,22
3806.10,22
3806.20,22
3806.30,22
3806.90,22
3807.00,22
3808.50,63
3808.91,63
3808.92,63
3808.93,63
3808.94,63
3808.99,63
3809.10,22
3809.91,22
3809.92,22
3809.93,22
3810.10,22
3810.90,22
3811.11,22
3811.19,22
3811.21,22
3811.29,22
3811.90,22
3812.10,22
3812.20,22
3812.30,22
3813.00,22
3814.00,22
3815.11,22
3815.12,22
3815.19,22
3815.90,22
3816.00,22
3817.00,22
3818.00,22
3819.00,22
3820.00,22
3821.00,22
3822.00,22
3823.11,22
3823.12,22
3823.13,22
3823.19,22
3823.70,22
3824.10,22
3824.30,22
3824.40,22
3824.50,22
3824.60,22
3824.71,22
3824.72,22
3824.73,22
3824.74,22
3824.75,22
3824.76,22
3824.77,22
3824.78,22
3824.79,22
3824.81,22
3824.82,22
3824.83,22
3824.90,22
3825.10,21
3825.20,21
3825.30,21
3825.41,21
3825.49,21
3825.50,21
3825.61,21
3825.69,21
3825.90,21
3901.10,22
3901.20,22
3901.30,22
3901.90,22
3902.10,22
3902.20,22
3902.30,22
3902.90,22
3903.11,22
3903.19,22
3903.20,22
3903.30,22
3903.90,22
3904.10,22
3904.21,22
3904.22,22
3904.30,22
3904.40,22
3904.50,22
3904.61,22
3904.69,22
3904.90,22
3905.12,22
3905.19,22
3905.21,22
3905.29,22
3905.30,22
3905.91,22
3905.99,22
3906.10,22
3906.90,22
3907.10,22
3907.20,22
3907.30,22
3907.40,22
3907.50,22
3907.60,22
3907.70,22
3907.91,22
3907.99,22
3908.10,22
3908.90,22
3909.10,22
3909.20,22
3909.30,22
3909.40,22
3909.50,22
3910.00,22
3911.10,22
3911.90,22
3912.11,22
3912.12,22
3912.20,22
3912.31,22
3912.39,22
3912.90,22
3913.10,22
3913.90,22
3914.00,22
3915.10,21
3915.20,21
3915.30,21
3915.90,21
3916.10,22
3916.20,22
3916.90,22
3917.10,22
3917.21,22
3917.22,22
3917.23,22
3917.29,22
3917.31,22
3917.32,22
3917.33,22
3917.39,22
3917.40,22
3918.10,22
3918.90,22
3919.10,22
3919.90,22
3920.10,22
3920.20,22
3920.30,22
3920.43,22
3920.49,22
3920.51,22
3920.59,22
3920.61,22
3920.62,22
3920.63,22
3920.69,22
3920.71,22
3920.73,22
3920.79,22
3920.91,22
3920.92,22
3920.93,22
3920.94,22
3920.99,22
3921.11,22
3921.12,22
3921.13,22
3921.14,22
3921.19,22
3921.90,22
3922.10,22
3922.20,62
3922.90,22
3923.10,22
3923.21,22
3923.29,22
3923.30,22
3923.40,22
3923.50,22
3923.90,22
3924.10,62
3924.90,62
3925.10,22
3925.20,22
3925.30,62
3925.90,22
3926.10,22
3926.20,63
3926.30,22
3926.40,62
3926.90,62
4001.10,21
4001.21,21
4001.22,21
4001.29,21
4001.30,21
4002.11,22
4002.19,22
4002.20,22
4002.31,22
4002.39,22
4002.41,22
4002.49,22
4002.51,22
4002.59,22
4002.60,22
4002.70,22
4002.80,22
4002.91,22
4002.99,22
4003.00,21
4004.00,21
4005.10,22
4005.20,22
4005.91,22
4005.99,22
4006.10,22
4006.90,22
4007.00,22
4008.11,22
4008.19,22
4008.21,22
4008.29,22
4009.11,22
4009.12,22
4009.21,22
4009.22,22
4009.31,22
4009.32,22
4009.41,22
4009.42,22
4010.11,42
4010.12,42
4010.19,42
4010.31,42
4010.32,42
4010.33,42
4010.34,42
4010.35,42
4010.36,42
4010.39,42
4011.10,53
4011.20,53
4011.30,53
4011.40,53
4011.50,53
4011.61,53
4011.62,53
4011.63,53
4011.69,53
4011.92,53
4011.93,53
4011.94,53
4011.99,53
4012.11,53
4012.12,53
4012.13,53
4012.19,53
4012.20,53
4012.90,53
4013.10,53
4013.20,53
4013.90,53
4014.10,63
4014.90,22
4015.11,22
4015.19,63
4015.90,63
4016.10,63
4016.91,63
4016.92,63
4016.93,22
4016.94,22
4016.95,63
4016.99,22
4017.00,22
4101.20,21
4101.50,21
4101.90,21
4102.10,21
4102.21,21
4102.29,21
4103.20,21
4103.30,21
4103.90,21
4104.11,22
4104.19,22
4104.41,22
4104.49,22
4105.10,22
4105.30,22
4106.21,22
4106.22,22
4106.31,22
4106.32,22
4106.40,22
4106.91,22
4106.92,22
4107.11,22
4107.12,22
4107.19,22
4107.91,22
4107.92,22
4107.99,22
4112.00,22
4113.10,22
4113.20,22
4113.30,22
4113.90,22
4114.10,22
4114.20,22
4115.10,22
4115.20,21
4201.00,62
4202.11,62
4202.12,62
4202.19,62
4202.21,62
4202.22,62
4202.29,62
4202.31,62
4202.32,62
4202.39,62
4202.91,62
4202.92,62
4202.99,62
4203.10,62
4203.21,62
4203.29,62
4203.30,62
4203.40,62
4205.00,62
4206.00,22
4301.10,21
4301.30,21
4301.60,21
4301.80,21
4301.90,21
4302.11,22
4302.19,22
4302.20,22
4302.30,22
4303.10,62
4303.90,62
4304.00,62
4401.10,31
4401.21,21
4401.22,21
4401.30,21
4402.10,322
4402.90,322
4403.10,21
4403.20,21
4403.41,21
4403.49,21
4403.91,21
4403.92,21
4403.99,21
4404.10,21
4404.20,21
4405.00,22
4406.10,22
4406.90,22
4407.10,22
4407.21,22
4407.22,22
4407.25,22
4407.26,22
4407.27,22
4407.28,22
4407.29,22
4407.91,22
4407.92,22
4407.93,22
4407.94,22
4407.95,22
4407.99,22
4408.10,22
4408.31,22
4408.39,22
4408.90,22
4409.10,22
4409.21,22
4409.29,22
4410.11,22
4410.12,22
4410.19,22
4410.90,22
4411.12,22
4411.13,22
4411.14,22
4411.92,22
4411.93,22
4411.94,22
4412.10,22
4412.31,22
4412.32,22
4412.39,22
4412.94,22
4412.99,22
4413.00,22
4414.00,62
4415.10,22
