code,desc
315900,Apparel accessories and other apparel manufacturing
316100,Leather and hide tanning and finishing                                                                                       
316200,Footwear manufacturing                                                                                                       
316900,Other leather and allied product manufacturing                                                                               
321100,Sawmills and wood preservation                                                                                               
32121A ,Veneer and plywood manufacturing                                                                                             
32121B ,Engineered wood member and truss manufacturing                                                                               
321219,Reconstituted wood product manufacturing                                                                                     
321910,Wood windows and doors and millwork
321920,Wood container and pallet manufacturing                                                                                      
321991,Manufactured home (mobile home) manufacturing
321992,Prefabricated wood building manufacturing                                                                                    
321999,All other miscellaneous wood product manufacturing
322110,Pulp mills                                                                                                                   
322120,Paper mills                                                                                                                  
322130,Paperboard Mills                                                                                                             
322210,Paperboard container manufacturing                                                                                           
32222A ,"Coated and laminated paper, packaging paper and plastics film manufacturing                                                         "
32222B ,All other paper bag and coated and treated paper manufacturing                                                                        
322230,Stationery product manufacturing                                                                                             
322291,Sanitary paper product manufacturing                                                                                         
322299,All other converted paper product manufacturing                                                                              
323110,Printing                                                                                                                     
323120,Support activities for printing                                                                                              
324110,Petroleum refineries                                                                                                         
324121,Asphalt paving mixture and block manufacturing                                                                               
324122,Asphalt shingle and coating materials manufacturing                                                                          
324191,Petroleum lubricating oil and grease manufacturing                                                                           
324199,All other petroleum and coal products manufacturing                                                                          
325110,Petrochemical manufacturing                                                                                                  
325120,Industrial gas manufacturing                                                                                                 
325130,Synthetic dye and pigment manufacturing                                                                                      
325181,Alkalies and chlorine manufacturing                                                                                          
325182,Carbon black manufacturing                                                                                                   
325188,All other basic inorganic chemical manufacturing                                                                             
325190,Other basic organic chemical manufacturing                                                                                   
325211,Plastics material and resin manufacturing                                                                                    
325212,Synthetic rubber manufacturing                                                                                               
325220,Artificial and synthetic fibers and filaments manufacturing                                                                  
325310,Fertilizer manufacturing
325320,Pesticide and other agricultural chemical manufacturing
325411,Medicinal and botanical manufacturing                                                                                        
325412,Pharmaceutical preparation manufacturing                                                                                     
325413,In-vitro diagnostic substance manufacturing                                                                                  
325414,Biological product (except diagnostic) manufacturing                                                                         
325510,Paint and coating manufacturing                                                                                              
325520,Adhesive manufacturing                                                                                                       
325610,Soap and cleaning compound manufacturing                                                                                     
325620,Toilet preparation manufacturing                                                                                             
325910,Printing ink manufacturing                                                                                                   
3259A0 ,All other chemical product and preparation manufacturing                                                                     
326110,Plastics packaging materials and unlaminated film and sheet manufacturing 
326121,Unlaminated plastics profile shape manufacturing                                                                             
326122,Plastics pipe and pipe fitting manufacturing                                                                                 
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing "
326140,Polystyrene foam product manufacturing                                                                                       
326150,Urethane and other foam product (except polystyrene) manufacturing                                                           
326160,Plastics bottle manufacturing                                                                                                
32619A ,Other plastics product manufacturing                                                                                         
326210,Tire manufacturing                                                                                                           
326220,Rubber and plastics hoses and belting manufacturing 
326290,Other rubber product manufacturing                                                                                           
32711A ,"Pottery, ceramics, and plumbing fixture manufacturing                                                                        "
32712A ,"Brick, tile, and other structural clay product manufacturing "
32712B ,Clay and nonclay refractory manufacturing 
327211,Flat glass manufacturing                                                                                                     
327212,Other pressed and blown glass and glassware manufacturing                                                                    
327213,Glass container manufacturing                                                                                                
327215,Glass product manufacturing made of purchased glass                                                                          
327310,Cement manufacturing                                                                                                         
327320,Ready-mix concrete manufacturing                                                                                             
327330,"Concrete pipe, brick, and block manufacturing"
327390,Other concrete product manufacturing                                                                                         
3274A0 ,Lime and gypsum product manufacturing                                                                                        
327910,Abrasive product manufacturing                                                                                               
327991,Cut stone and stone product manufacturing                                                                                    
327992,Ground or treated mineral and earth manufacturing
327993,Mineral wool manufacturing                                                                                                   
327999,Miscellaneous nonmetallic mineral products                                                                                   
331110,Iron and steel mills and ferroalloy manufacturing
331200,Steel product manufacturing from purchased steel
33131A ,Alumina refining and primary aluminum production                                                                             
331314,Secondary smelting and alloying of aluminum                                                                                  
33131B ,Aluminum product manufacturing from purchased aluminum
331411,Primary smelting and refining of copper                                                                                      
331419,Primary smelting and refining of nonferrous metal (except copper and aluminum)
331420,"Copper rolling, drawing, extruding and alloying                                                                              "
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying                                       "
331510,Ferrous metal foundries                                                                                                     
331520,Nonferrous metal foundries
33211A ,"All other forging, stamping, and sintering                                                                                  "
332114,Custom roll forming                                                                                                          
33211B ,Crown and closure manufacturing and metal stamping
33221A ,"Cutlery, utensil, pot, and pan manufacturing "
33221B ,Handtool manufacturing                                                                                                       
332310,Plate work and fabricated structural product manufacturing                                                                   
332320,Ornamental and architectural metal products manufacturing                                                                   
332410,Power boiler and heat exchanger manufacturing                                                                                
332420,Metal tank (heavy gauge) manufacturing                                                                                       
332430,"Metal can, box, and other metal container (light gauge) manufacturing  "
33299A ,Ammunition manufacturing                                                                                                     
33299B ,"Arms, ordnance, and accessories manufacturing"
332500,Hardware manufacturing                                                                                                       
332600,Spring and wire product manufacturing                                                                                        
332710,Machine shops                                                                                                                
332720,"Turned product and screw, nut, and bolt manufacturing                                                                        "
332800,"Coating, engraving, heat treating and allied activities                                                                      "
33291A ,Valve and fittings other than plumbing                                                                                       
332913,Plumbing fixture fitting and trim manufacturing                                                                              
332991,Ball and roller bearing manufacturing                                                                                        
332996,Fabricated pipe and pipe fitting manufacturing                                                                               
33299C ,Other fabricated metal manufacturing                                                                                         
333111,Farm machinery and equipment manufacturing                                                                                   
333112,Lawn and garden equipment manufacturing                                                                                      
333120,Construction machinery manufacturing                                                                                         
333130,Mining and oil and gas field machinery manufacturing                                                                         
33329A,Other industrial machinery manufacturing                                                                                     
333220,Plastics and rubber industry machinery manufacturing
333295,Semiconductor machinery manufacturing                                                                                        
33331A ,"Vending, commercial, industrial, and office machinery manufacturing"
333314,Optical instrument and lens manufacturing                                                                                    
333315,Photographic and photocopying equipment manufacturing                                                                        
333319,Other commercial and service industry machinery manufacturing                                                                
33341A ,Air purification and ventilation equipment manufacturing                                                                                          
333414,Heating equipment (except warm air furnaces) manufacturing
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing"
333511,Industrial mold manufacturing                                                                                                
33351A ,Metal cutting and forming machine tool manufacturing 
333514,"Special tool, die, jig, and fixture manufacturing                                                                            "
333515,Cutting tool and machine tool accessory manufacturing                                                                        
33351B ,Rolling mill and other metalworking machinery manufacturing
333611,Turbine and turbine generator set units manufacturing                                                                        
333612,"Speed changer, industrial high-speed drive, and gear manufacturing                                                           "
333613,Mechanical power transmission equipment manufacturing                                                                        
333618,Other engine equipment manufacturing                                                                                         
333911,Pump and pumping equipment manufacturing                                                                                     
333912,Air and gas compressor manufacturing                                                                                         
333920,Material handling equipment manufacturing                                                                                    
333991,Power-driven handtool manufacturing                                                                                          
33399A ,Other general purpose machinery manufacturing
333993,Packaging machinery manufacturing                                                                                            
333994,Industrial process furnace and oven manufacturing                                                                            
33399B ,Fluid power process machinery                                                                                                
334111,Electronic computer manufacturing                                                                                            
334112,Computer storage device manufacturing                                                                                        
33411A ,Computer terminals and other computer peripheral equipment manufacturing                                                                            
334210,Telephone apparatus manufacturing                                                                                            
334220,Broadcast and wireless communications equipment                                                                              
334290,Other communications equipment manufacturing                                                                                 
334300,Audio and video equipment manufacturing                                                                                      
334411,Electron tube manufacturing                                                                                                  
334412,Bare printed circuit board manufacturing                                                                                     
334413,Semiconductor and related device manufacturing                                                                               
33441A ,"Electronic capacitor, resistor, coil, transformer, and other inductor manufacturing                                          "
334417,Electronic connector manufacturing                                                                                           
334418,Printed circuit assembly (electronic assembly) manufacturing                                                                 
334419,Other electronic component manufacturing                                                                                     
334510,Electromedical and electrotherapeutic apparatus manufacturing 
334511,"Search, detection, and navigation instruments manufacturing"
334512,Automatic environmental control manufacturing                                                                                
334513,Industrial process variable instruments manufacturing
334514,Totalizing fluid meters and counting devices manufacturing
334515,Electricity and signal testing instruments manufacturing
334516,Analytical laboratory instrument manufacturing                                                                               
334517,Irradiation apparatus manufacturing                                                                                          
33451A ,"Watch, clock, and other measuring and controlling device manufacturing"
33461A ,"Software, audio, and video media reproducing "
334613,Magnetic and optical recording media manufacturing                                                                           
335110,Electric lamp bulb and part manufacturing                                                                                    
335120,Lighting fixture manufacturing                                                                                               
335210,Small electrical appliance manufacturing                                                                                     
335221,Household cooking appliance manufacturing                                                                                    
335222,Household refrigerator and home freezer manufacturing                                                                        
335224,Household laundry equipment manufacturing                                                                                    
335228,Other major household appliance manufacturing                                                                                
335311,"Power, distribution, and specialty transformer manufacturing                                                                       "
335312,Motor and generator manufacturing                                                                                            
335313,Switchgear and switchboard apparatus manufacturing                                                                           
335314,Relay and industrial control manufacturing                                                                                   
335911,Storage battery manufacturing                                                                                                
335912,Primary battery manufacturing                                                                                                
335920,Communication and energy wire and cable manufacturing                                                                        
335930,Wiring device manufacturing                                                                                                  
335991,Carbon and graphite product manufacturing                                                                                    
335999,All other miscellaneous electrical equipment and component manufacturing
336111,Automobile manufacturing                                                                                                     
336112,Light truck and utility vehicle manufacturing 
336120,Heavy duty truck manufacturing                                                                                               
336211,Motor vehicle body manufacturing                                                                                             
336212,Truck trailer manufacturing                                                                                                  
336213,Motor home manufacturing                                                                                                     
336214,Travel trailer and camper manufacturing                                                                                      
336300,Motor vehicle parts manufacturing                                                                                            
336411,Aircraft manufacturing                                                                                                       
336412,Aircraft engine and engine parts manufacturing                                                                               
336413,Other aircraft parts and auxiliary equipment manufacturing
336414,Guided missile and space vehicle manufacturing                                                                               
33641A ,Propulsion units and parts for space vehicles and guided missiles
336500,Railroad rolling stock manufacturing                                                                                         
336611,Ship building and repairing                                                                                                  
336612,Boat building                                                                                                                
336991,"Motorcycle, bicycle, and parts manufacturing                                                                                 "
336992,"Military armored vehicle, tank, and tank component manufacturing"
336999,All other transportation equipment manufacturing
337110,Wood kitchen cabinet and countertop manufacturing                                                                            
337121,Upholstered household furniture manufacturing                                                                                
337122,Nonupholstered wood household furniture manufacturing                                                                        
33712A ,Metal and other household furniture (except wood) manufacturing1
337127,Institutional furniture manufacturing                                                                                        
33721A ,"Wood television, radio, and sewing machine cabinet manufacturing1"
337212,Office furniture and custom architectural woodwork and millwork manufacturing1
337215,"Showcase, partition, shelving, and locker manufacturing  "
337910,Mattress manufacturing  
337920,Blind and shade manufacturing   
339111,Laboratory apparatus and furniture manufacturing                                                                             
339112,Surgical and medical instrument manufacturing                                                                                
339113,Surgical appliance and supplies manufacturing                                                                                
339114,Dental equipment and supplies manufacturing                                                                                  
339115,Ophthalmic goods manufacturing                                                                                               
339116,Dental laboratories                                                                                                          
339910,Jewelry and silverware manufacturing                                                                                         
339920,Sporting and athletic goods manufacturing                                                                                    
339930,"Doll, toy, and game manufacturing                                                                                            "
339940,Office supplies (except paper) manufacturing                                                                                 
339950,Sign manufacturing                                                                                                           
339991,"Gasket, packing, and sealing device manufacturing                                                                            "
339992,Musical instrument manufacturing                                                                                             
33999A ,All other miscellaneous manufacturing                                                                                        
339994,"Broom, brush, and mop manufacturing                                                                                          "
420000,Wholesale trade                                                                                                              
4A0000 ,Retail trade                                                                                                                 
481000,Air transportation                                                                                                           
482000,Rail transportation                                                                                                          
483000,Water transportation                                                                                                         
484000,Truck transportation                                                                                                         
485000,Transit and ground passenger transportation                                                                                  
486000,Pipeline transportation                                                                                                      
48A000 ,Scenic and sightseeing transportation and support activities for transportation                                              
492000,Couriers and messengers                                                                                                      
493000,Warehousing and storage                                                                                                      
511110,Newspaper publishers                                                                                                         
511120,Periodical publishers                                                                                                        
511130,Book publishers                                                                                                              
5111A0 ,"Directory, mailing list, and other publishers                                                                                "
511200,Software publishers                                                                                                          
512100,Motion picture and video industries                                                                                          
512200,Sound recording industries                                                                                                   
515100,Radio and television broadcasting                                                                                            
515200,Cable and other subscription programming                                                                                     
516110,Internet publishing and broadcasting                                                                                         
517000,Telecommunications                                                                                                           
518100,Internet service providers and web search portals                                                                            
518200,"Data processing, hosting, and related services                                                                               "
519100,Other information services                                                                                                   
52A000 ,Monetary authorities and depository credit intermediation                                                                    
522A00 ,Nondepository credit intermediation and related activities
523000,"Securities, commodity contracts, investments, and related activities                                   "
524100,Insurance carriers                                                                                                           
524200,"Insurance agencies, brokerages, and related activities"
525000,"Funds, trusts, and other financial vehicles                                                                                  "
531000,Real estate                                                                                                                  
S00800,Owner-occupied dwellings
532100,Automotive equipment rental and leasing                                                                                      
532A00 ,General and consumer goods rental except video tapes and discs                                                               
532230,Video tape and disc rental                                                                                                   
532400,Commercial and industrial machinery and equipment rental and leasing                                      
533000,Lessors of nonfinancial intangible assets                                                                                    
541100,Legal services                                                                                                               
541200,"Accounting, tax preparation, bookkeeping, and payroll services                                             "
541300,"Architectural, engineering, and related services                                          "
541400,Specialized design services                                                                                                  
541511,Custom computer programming services                                                                                         
541512,Computer systems design services                                                                                             
54151A ,"Other computer related services, including facilities management                                                             "
541610,"Management, scientific, and technical consulting services"
5416A0 ,Environmental and other technical consulting services                                                                        
541700,Scientific research and development services                                                                                 
541800,Advertising and related services                                                                                             
5419A0 ,"All other miscellaneous professional, scientific, and technical services                                                                  "
541920,Photographic services                                                                                                        
541940,Veterinary services                                                                                                          
550000,Management of companies and enterprises                                                                                      
561100,Office administrative services                                                                                               
561200,Facilities support services                                                                                                  
561400,Business support services                                                                                                    
561600,Investigation and security services                                                                                          
561700,Services to buildings and dwellings                                                                                          
561900,Other support services                                                                                                       
561300,Employment services                                                                                                          
561500,Travel arrangement and reservation services                                                                                  
562000,Waste management and remediation services                                                                                    
611100,Elementary and secondary schools                                                                                             
611A00 ,"Junior colleges, colleges, universities, and professional schools"
611B00 ,Other educational services                                                                                                   
621A00 ,"Offices of physicians, dentists, and other health practitioners                                                              "
621B00 ,Medical and diagnostic labs and outpatient and other ambulatory care services
621600,Home health care services                                                                                                    
622000,Hospitals                                                                                                                    
623000,Nursing and residential care facilities                                                                                      
624A00 ,Individual and family services                                                                                               
624200,"Community food, housing, and other relief services, including rehabilitation services"
624400,Child day care services                                                                                                      
711100,Performing arts companies                                                                                                    
711200,Spectator sports                                                                                                             
711A00 ,Promoters of performing arts and sports and agents for public figures                                                        
711500,"Independent artists, writers, and performers                                                                                 "
712000,"Museums, historical sites, zoos, and parks                                                                                   "
713A00 ,"Amusement parks, arcades, and gambling industries"
713B00 ,Other amusement and recreation industries
713940,Fitness and recreational sports centers  
713950,Bowling centers                                                                                                              
7211A0 ,"Hotels and motels, including casino hotels                                                                                   "
721A00 ,Other accommodations                                                                                                         
722000,Food services and drinking places                                                                                            
8111A0 ,"Automotive repair and maintenance, except car washes                                                                         "
811192,Car washes                                                                                                                   
811200,Electronic and precision equipment repair and maintenance
811300,Commercial and industrial machinery and equipment repair and maintenance
811400,Personal and household goods repair and maintenance
812100,Personal care services                                                                                                       
812200,Death care services                                                                                                          
812300,Dry-cleaning and laundry services                                                                                             
812900,Other personal services                                                                                                      
813100,Religious organizations                                                                                                      
813A00 ,"Grantmaking, giving, and social advocacy organizations"
813B00 ,"Civic, social, professional, and similar organizations"
814000,Private households                                                                                                           
491000,Postal service
S00101,Federal electric utilities
S00102,Other Federal Government enterprises
S00201,State and local government passenger transit
S00202,State and local government electric utilities
S00203,Other state and local government enterprises
S00500,General Federal defense government services
S00600,General Federal nondefense government services
S00700,General state and local government services
S00300,Noncomparable imports                                                          
S00401,Scrap                                                                          
S00402,Used and secondhand goods                                                      
S00900,Rest of the world adjustment
