code,desc
333991,Power-driven handtool manufacturing
33399A,Other general purpose machinery manufacturing
333993,Packaging machinery manufacturing
333994,Industrial process furnace and oven manufacturing
33399B,Fluid power process machinery
334111,Electronic computer manufacturing
334112,Computer storage device manufacturing
334118,Computer terminals and other computer peripheral equipment manufacturing
334210,Telephone apparatus manufacturing
334220,Broadcast and wireless communications equipment
334290,Other communications equipment manufacturing
334413,Semiconductor and related device manufacturing
334418,Printed circuit assembly (electronic assembly) manufacturing
33441A,Other electronic component manufacturing
334510,Electromedical and electrotherapeutic apparatus manufacturing
334511,"Search, detection, and navigation instruments manufacturing"
334512,Automatic environmental control manufacturing
334513,Industrial process variable instruments manufacturing
334514,Totalizing fluid meter and counting device manufacturing
334515,Electricity and signal testing instruments manufacturing
334516,Analytical laboratory instrument manufacturing
334517,Irradiation apparatus manufacturing
33451A,"Watch, clock, and other measuring and controlling device manufacturing"
334300,Audio and video equipment manufacturing
334610,Manufacturing and reproducing magnetic and optical media
335110,Electric lamp bulb and part manufacturing
335120,Lighting fixture manufacturing
335210,Small electrical appliance manufacturing
335221,Household cooking appliance manufacturing
335222,Household refrigerator and home freezer manufacturing
335224,Household laundry equipment manufacturing
335228,Other major household appliance manufacturing
335311,"Power, distribution, and specialty transformer manufacturing"
335312,Motor and generator manufacturing
335313,Switchgear and switchboard apparatus manufacturing
335314,Relay and industrial control manufacturing
335911,Storage battery manufacturing
335912,Primary battery manufacturing
335920,Communication and energy wire and cable manufacturing
335930,Wiring device manufacturing
335991,Carbon and graphite product manufacturing
335999,All other miscellaneous electrical equipment and component manufacturing
336111,Automobile manufacturing
336112,Light truck and utility vehicle manufacturing
336120,Heavy duty truck manufacturing
336211,Motor vehicle body manufacturing
336212,Truck trailer manufacturing
336213,Motor home manufacturing
336214,Travel trailer and camper manufacturing
336310,Motor vehicle gasoline engine and engine parts manufacturing
336320,Motor vehicle electrical and electronic equipment manufacturing
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing"
336350,Motor vehicle transmission and power train parts manufacturing
336360,Motor vehicle seating and interior trim manufacturing
336370,Motor vehicle metal stamping
336390,Other motor vehicle parts manufacturing
336411,Aircraft manufacturing
336412,Aircraft engine and engine parts manufacturing
336413,Other aircraft parts and auxiliary equipment manufacturing
336414,Guided missile and space vehicle manufacturing
33641A,Propulsion units and parts for space vehicles and guided missiles
336500,Railroad rolling stock manufacturing
336611,Ship building and repairing
336612,Boat building
336991,"Motorcycle, bicycle, and parts manufacturing"
336992,"Military armored vehicle, tank, and tank component manufacturing"
336999,All other transportation equipment manufacturing
337110,Wood kitchen cabinet and countertop manufacturing
337121,Upholstered household furniture manufacturing
337122,Nonupholstered wood household furniture manufacturing
33712N,Other household nonupholstered furniture
337127,Institutional furniture manufacturing
33721A,Office furniture and custom architectural woodwork and millwork manufacturing
337215,"Showcase, partition, shelving, and locker manufacturing"
337900,Other furniture related product manufacturing
339112,Surgical and medical instrument manufacturing
339113,Surgical appliance and supplies manufacturing
339114,Dental equipment and supplies manufacturing
339115,Ophthalmic goods manufacturing
339116,Dental laboratories
339910,Jewelry and silverware manufacturing
339920,Sporting and athletic goods manufacturing
339930,"Doll, toy, and game manufacturing"
339940,Office supplies (except paper) manufacturing
339950,Sign manufacturing
339990,All other miscellaneous manufacturing
311111,Dog and cat food manufacturing
311119,Other animal food manufacturing
311210,Flour milling and malt manufacturing
311221,Wet corn milling
311224,Soybean and other oilseed processing
311225,Fats and oils refining and blending
311230,Breakfast cereal manufacturing
311300,Sugar and confectionery product manufacturing
311410,Frozen food manufacturing
311420,"Fruit and vegetable canning, pickling, and drying"
31151A,Fluid milk and butter manufacturing
311513,Cheese manufacturing
311514,"Dry, condensed, and evaporated dairy product manufacturing"
311520,Ice cream and frozen dessert manufacturing
31161A,"Animal (except poultry) slaughtering, rendering, and processing"
311615,Poultry processing
311700,Seafood product preparation and packaging
311810,Bread and bakery product manufacturing
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing"
311910,Snack food manufacturing
311920,Coffee and tea manufacturing
311930,Flavoring syrup and concentrate manufacturing
311940,Seasoning and dressing manufacturing
311990,All other food manufacturing
312110,Soft drink and ice manufacturing
312120,Breweries
312130,Wineries
312140,Distilleries
312200,Tobacco manufacturing
313100,"Fiber, yarn, and thread mills"
313200,Fabric mills
313300,Textile and fabric finishing and fabric coating mills
314110,Carpet and rug mills
314120,Curtain and linen mills
314900,Other textile product mills
315000,Apparel manufacturing
316000,Leather and allied product manufacturing
322110,Pulp mills
322120,Paper mills
322130,Paperboard mills
322210,Paperboard container manufacturing
322220,Paper bag and coated and treated paper manufacturing
322230,Stationery product manufacturing
322291,Sanitary paper product manufacturing
322299,All other converted paper product manufacturing
323110,Printing
323120,Support activities for printing
324110,Petroleum refineries
324121,Asphalt paving mixture and block manufacturing
324122,Asphalt shingle and coating materials manufacturing
324190,Other petroleum and coal products manufacturing
325110,Petrochemical manufacturing
325120,Industrial gas manufacturing
325130,Synthetic dye and pigment manufacturing
325180,Other basic inorganic chemical manufacturing
325190,Other basic organic chemical manufacturing
325211,Plastics material and resin manufacturing
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing
325411,Medicinal and botanical manufacturing
325412,Pharmaceutical preparation manufacturing
325413,In-vitro diagnostic substance manufacturing
325414,Biological product (except diagnostic) manufacturing
325310,Fertilizer manufacturing
325320,Pesticide and other agricultural chemical manufacturing
325510,Paint and coating manufacturing
325520,Adhesive manufacturing
325610,Soap and cleaning compound manufacturing
325620,Toilet preparation manufacturing
325910,Printing ink manufacturing
3259A0,All other chemical product and preparation manufacturing
326110,Plastics packaging materials and unlaminated film and sheet manufacturing
326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing"
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing"
326140,Polystyrene foam product manufacturing
326150,Urethane and other foam product (except polystyrene) manufacturing
326160,Plastics bottle manufacturing
326190,Other plastics product manufacturing
326210,Tire manufacturing
326220,Rubber and plastics hoses and belting manufacturing
326290,Other rubber product manufacturing
423100,Motor vehicle and motor vehicle parts and supplies
423400,Professional and commercial equipment and supplies
423600,Household appliances and electrical and electronic goods
423800,"Machinery, equipment, and supplies"
423A00,Other durable goods merchant wholesalers
424200,Drugs and druggists' sundries
424400,Grocery and related product wholesalers
424700,Petroleum and petroleum products
424A00,Other nondurable goods merchant wholesalers
425000,Wholesale electronic markets and agents and brokers
4200ID,Customs duties
441000,Motor vehicle and parts dealers
445000,Food and beverage stores
452000,General merchandise stores
444000,Building material and garden equipment and supplies dealers
446000,Health and personal care stores
447000,Gasoline stations
448000,Clothing and clothing accessories stores
454000,Nonstore retailers
4B0000,All other retail
481000,Air transportation
482000,Rail transportation
483000,Water transportation
484000,Truck transportation
485000,Transit and ground passenger transportation
486000,Pipeline transportation
48A000,Scenic and sightseeing transportation and support activities
492000,Couriers and messengers
493000,Warehousing and storage
511110,Newspaper publishers
511120,Periodical publishers
511130,Book publishers
5111A0,"Directory, mailing list, and other publishers"
511200,Software publishers
512100,Motion picture and video industries
512200,Sound recording industries
515100,Radio and television broadcasting
515200,Cable and other subscription programming
517110,Wired telecommunications carriers
517210,Wireless telecommunications carriers (except satellite)
517A00,"Satellite, telecommunications resellers, and all other telecommunications"
518200,"Data processing, hosting, and related services"
519130,Internet publishing and broadcasting and Web search portals
5191A0,"News syndicates, libraries, archives and all other information services"
52A000,Monetary authorities and depository credit intermediation
522A00,Nondepository credit intermediation and related activities
523A00,Securities and commodity contracts intermediation and brokerage
523900,Other financial investment activities
524113,Direct life insurance carriers
5241XX,"Insurance carriers, except direct life"
524200,"Insurance agencies, brokerages, and related activities"
525000,"Funds, trusts, and other financial vehicles"
531HSO,Owner-occupied housing
531HST,Tenant-occupied housing
531ORE,Other real estate
532100,Automotive equipment rental and leasing
532A00,General and consumer goods rental
532400,Commercial and industrial machinery and equipment rental and leasing
533000,Lessors of nonfinancial intangible assets
541100,Legal services
541200,"Accounting, tax preparation, bookkeeping, and payroll services"
541300,"Architectural, engineering, and related services"
541610,Management consulting services
5416A0,Environmental and other technical consulting services
541700,Scientific research and development services
541800,"Advertising, public relations, and related services"
541400,Specialized design services
5419A0,"All other miscellaneous professional, scientific, and technical services"
541920,Photographic services
541940,Veterinary services
541511,Custom computer programming services
541512,Computer systems design services
54151A,"Other computer related services, including facilities management"
550000,Management of companies and enterprises
561300,Employment services
561700,Services to buildings and dwellings
561100,Office administrative services
561200,Facilities support services
561400,Business support services
561500,Travel arrangement and reservation services
561600,Investigation and security services
561900,Other support services
562000,Waste management and remediation services
611100,Elementary and secondary schools
611A00,"Junior colleges, colleges, universities, and professional schools"
611B00,Other educational services
621100,Offices of physicians
621200,Offices of dentists
621300,Offices of other health practitioners
621400,Outpatient care centers
621500,Medical and diagnostic laboratories
621600,Home health care services
621900,Other ambulatory health care services
622000,Hospitals
623A00,Nursing and community care facilities
623B00,"Residential mental health, substance abuse, and other residential care facilities"
624100,Individual and family services
624A00,"Community food, housing, and other relief services, including vocational rehabilitation services"
624400,Child day care services
711100,Performing arts companies
711200,Spectator sports
711A00,Promoters of performing arts and sports and agents for public figures
711500,"Independent artists, writers, and performers"
712000,"Museums, historical sites, zoos, and parks"
713100,Amusement parks and arcades
713200,Gambling industries (except casino hotels)
713900,Other amusement and recreation industries
721000,Accommodation
722110,Full-service restaurants
722211,Limited-service restaurants
722A00,All other food and drinking places
811100,Automotive repair and maintenance (including car washes)
811200,Electronic and precision equipment repair and maintenance
811300,Commercial and industrial machinery and equipment repair and maintenance
811400,Personal and household goods repair and maintenance
812100,Personal care services
812200,Death care services
812300,Dry-cleaning and laundry services
812900,Other personal services
813100,Religious organizations
813A00,"Grantmaking, giving, and social advocacy organizations"
813B00,"Civic, social, professional, and similar organizations"
814000,Private households
S00500,Federal general government (defense)
S00600,Federal general government (nondefense)
491000,Postal service
S00101,Federal electric utilities
S00102,Other federal government enterprises
GSLGE,State and local government (educational services)
GSLGH,State and local government (hospitals and health services)
GSLGO,State and local government (other services)
S00201,State and local government passenger transit
S00202,State and local government electric utilities
S00203,Other state and local government enterprises
S00401,Scrap
S00402,Used and secondhand goods
S00300,Noncomparable imports
S00900,Rest of the world adjustment
