"ISIC4code","partialISIC4","ISIC31code","partialISIC31","Detail"
"3212",1,"3699",1,"Manufacture of imitation jewellery, except watch bands"
"3220",0,"3692",1,""
"3230",1,"1920",1,"Manufacture of ski-boots"
"3230",1,"3693",1,"Manufacture of sports goods, except ski-boots"
"3240",0,"3694",1,""
"3250",1,"1721",1,"Manufacture of surgical drapes, belts and trusses"
"3250",1,"2423",1,"Manufacture of dental fillings and bone reconstruction cements"
"3250",1,"2919",1,"Manufacture of laboratory centrifuges"
"3250",1,"3311",1,"Manufacture of orthopedic and prosthetic devices, artificial teeth, splints, crutches; orthopedic shoes; bone plates and screws; syringes, catheters etc.; medical, surgical dental or veterinary furniture (operating tables, dentists' chairs etc.); medical thermometers; dental laboratory furnaces; laboratory sterilizers, ultrasonic cleaning machinery; mechanotherapeutic appliances; surgical and medical instruments"
"3250",1,"3312",1,"Manufacture of laboratory type distilling apparatus"
"3250",1,"3320",1,"Manufacture of ophthalmic goods, eyeglasses, sunglasses, lenses, safety goggles"
"3290",1,"1810",1,"Manufacture of fire-resistant clothing, of textile"
"3290",1,"1912",1,"Manufacture of linemen's safety belts and other belts for occupational use"
"3290",1,"2029",1,"Manufacture of cork life preservers"
"3290",1,"2211",1,"Manufacture of globes"
"3290",1,"2519",1,"Manufacture of rubber protective safety equipment, e.g. gloves, life vests"
"3290",1,"2520",1,"Manufacture of hard hats"
"3290",1,"2699",1,"Manufacture of fire-fighting protection suits and fire resistant clothing, of non-metallic minerals"
"3290",1,"2899",1,"Manufacture of metal safety headgear"
"3290",1,"3311",1,"Manufacture of gas masks"
"3290",1,"3693",1,"Manufacture of ear and nose plugs"
"3290",1,"3699",1,"Manufacture of goods not elsewhere classified"
"3311",1,"2811",1,"Repair of structural metal products"
"3311",1,"2812",1,"Repair of tanks, reservoirs and containers of metal"
"3311",1,"2813",1,"Repair of steam generators"
"3311",1,"2892",1,"Welding repair"
"3311",1,"2893",1,"Repair of hand tools and general hardware"
"3311",1,"2899",1,"Repair of fabricated metal products"
"3311",1,"2927",1,"Repair of weapons"
"3311",1,"2929",1,"Repair of moulding boxes and moulds (except ingot moulds)"
"3311",1,"3420",1,"Repair and maintenance of containers"
"3312",1,"2911",1,"Repair of engines and turbines (except aircraft, vehicle and cycle)"
"3312",1,"2912",1,"Repair of pumps, compressors, taps and valves"
"3312",1,"2913",1,"Repair of bearings, gears, gearing and driving elements"
"3312",1,"2914",1,"Repair of ovens, furnaces and furnace burners"
"3312",1,"2915",1,"Repair of lifting and handling equipment (except lifts and escalators)"
"3312",1,"2919",1,"Repair of other general-purpose machinery"
"3312",1,"2921",1,"Repair of agricultural and forestry machinery"
"3312",1,"2922",1,"Repair of machine tools, except electrical welding and soldering equipment"
"3312",1,"2923",1,"Repair of machinery for metallurgy"
"3312",1,"2924",1,"Repair of machinery for mining and construction"
"3312",1,"2925",1,"Repair of machinery for food, beverage and tobacco processing"
"3312",1,"2926",1,"Repair of machinery for textile, apparel and leather production"
"3312",1,"2929",1,"Repair of other special purpose machinery (except ultrasonic cleaning machines)"
"3312",1,"3110",1,"Repair of turbine-generator sets"
"3312",1,"3230",1,"Repair of dictating machines"
"3312",1,"3599",1,"Repair of hand trucks and wheelbarrows"
"3312",1,"3694",1,"Repair of automatic bowling alley equipment"
"3312",1,"3699",1,"Repair of roundabouts, swings, shooting galleries and other fairground amusements"
"3312",1,"7250",1,"Repair of office machinery and equipment, except computers and peripheral equipment"
"3313",1,"3190",1,"Repair of pulse generators"
"3313",1,"3220",1,"Repair of GPS equipment"
"3313",1,"3230",1,"Repair of digital cameras"
"3313",1,"3311",1,"Repair of electro-diagnostic apparatus, X-ray and similar apparatus, irradiation apparatus and tubes (medical and other), hearing aids, pace makers, mirrors, reflectors"
"3313",1,"3312",1,"Repair of measuring, testing, navigating and control equipment"
"3313",1,"3313",1,"Repair of industrial process control equipment"
"3313",1,"3320",1,"Repair of optical instruments and photographic equipment (except household goods)"
"3313",1,"5260",1,"Repair of cameras (except digital cameras)"
"3314",1,"2520",1,"Repair of plastic non current carrying wiring devices (junction boxes, face plates etc.)"
"3314",1,"2922",1,"Repair of electric welding, brazing or soldering equipment"
"3314",1,"2929",1,"Repair of ultrasonic cleaning machines (except laboratory and dental)"
"3314",1,"3110",1,"Repair of electric motors, generators and transformers, battery chargers etc."
"3314",1,"3120",1,"Repair of electricity distribution and control apparatus"
"3314",1,"3130",1,"Repair of electric and electronic wires and cables (except computer cables etc.)"
"3314",1,"3140",1,"Repair of accumulators etc."
"3314",1,"3150",1,"Repair of electric lighting equipment"
"3314",1,"3190",1,"Repair of other electrical equipment"
"3314",1,"3210",1,"Repair of solid-state fuel cells, power supplies; non-electronic electric components, such as non-electronic capacitors, resistors etc. (e.g. power capacitors)"
"3315",1,"3511",1,"Repair and maintenance of ships"
"3315",1,"3512",1,"Repair and maintenance of pleasure boats"
"3315",1,"3520",1,"Repair of railway cars etc."
"3315",1,"3530",1,"Repair and maintenance of aircraft"
"3315",1,"3599",1,"Repair of animal-drawn vehicles"
"3315",1,"6303",1,"Maintenance and minor repair of rolling stock"
"3319",1,"1721",1,"Repair of canvas products, tarpaulin, fertilizer and chemical storage bags"
"3319",1,"1723",1,"Repair of ropes, fishing nets, including mending"
"3319",1,"2023",1,"Repair or reconditioning of wooden pallets, shipping drums or barrels, and similar items"
"3319",1,"2029",1,"Repair of other wood products, except household goods (e.g. wooden spools and similar parts of textile machinery)"
"3319",1,"2519",1,"Repair of rubber products (except tyres)"
"3319",1,"2520",1,"Repair of plastic products"
"3319",1,"2610",1,"Repair of glass and glass products"
"3319",1,"2699",1,"Repair of millstones, grindstones, polishing stones etc."
"3319",1,"3311",1,"Repair of orthopedic and prosthetic devices, gas masks"
"3319",1,"3312",1,"Repair of laboratory sterilizers and laboratory type distilling apparatus"
"3319",1,"3330",1,"Repair of parking meters, time clocks, time/date stamps, time locks, and similar timing devices"
"3319",1,"3692",1,"Restoring of organs and other historical musical instruments"
"3319",1,"3694",1,"Repair of pinball machines and other coin-operated games"
"3320",1,"2813",1,"Installation of steam generators, nuclear reactors"
"3320",1,"2911",1,"Installation of engines and turbines"
"3320",1,"2912",1,"Installation of industrial machinery-type pumps"
"3320",1,"2914",1,"Installation of ovens and furnaces"
"3320",1,"2915",1,"Installation of lifting and handling equipment"
"3320",1,"2919",1,"Installation of other general-purpose machinery"
"3320",1,"2921",1,"Installation of agricultural machinery"
"3320",1,"2922",1,"Installation of machine tools (e.g. hydraulic presses, draw-benches)"
"3320",1,"2923",1,"Installation of machinery for metallurgy"
"3320",1,"2924",1,"Installation of machinery for mining and construction (e.g. continuous action elevators, tunneling machines)"
"3320",1,"2925",1,"Installation of machinery for food beverage and tobacco processing"
"3320",1,"2926",1,"Installation of machinery for textile, apparel and leather production"
"3320",1,"2929",1,"Installation of other special purpose machinery"
"3320",1,"3000",1,"Installation of mainframes and similar computers, other office machinery"
"3320",1,"3110",1,"Installation of electric motors, generators and transformers"
"3320",1,"3220",1,"Installation of communication equipment"
"3320",1,"3311",1,"Installation of X-ray machines etc."
"3320",1,"3313",1,"Installation of industrial process control equipment"
"3320",1,"4540",1,"Installation of bowling alley equipment"
"3510",0,"4010",0,""
"3520",0,"4020",0,""
"3530",1,"1549",1,"Manufacture of ice for food purposes"
"3530",1,"4030",0,""
"3600",0,"4100",0,""
"3700",0,"9000",1,""
"3811",0,"9000",1,""
"3812",1,"2330",1,"Transfer stations for spent nuclear fuels (e.g. temporary storage)"
"3812",1,"9000",1,"Collection of hazardous waste"
"3821",1,"2412",1,"Production of compost from organic waste"
"3821",1,"9000",1,"Treatment and disposal of non-hazardous waste; except compost"
"3822",1,"2330",1,"Treatment and disposal of radioactive nuclear waste"
"3822",1,"9000",1,"Treatment and disposal of hazardous waste"
"3830",1,"3710",0,""
"3830",1,"3720",0,""
"3900",1,"4510",1,"Clearing of landmines"
"3900",1,"9000",1,"Remediation activities"
"4100",0,"4520",1,""
"4210",0,"4520",1,""
"4220",0,"4520",1,""
"4290",1,"4520",1,"Construction of industrial facilities (except buildings), waterways, harbours, dams, outdoor sports facilities; dredging of waterways"
"4290",1,"7010",1,"Subdividing and improving buildable lots for sale"
"4311",0,"4510",1,""
"4312",1,"4510",1,"Site preparation"
"4312",1,"4550",1,"Renting of bulldozers for earth moving"
"4321",0,"4530",1,""
"4322",0,"4530",1,""
"4329",1,"4530",1,"Installation of: elevators, escalators; thermal, sound or vibration insulation; lightning conductors; vacuum cleaning systems;"
"4329",1,"4540",1,"Installation of automated and revolving doors"
"4330",1,"4530",1,"Installation of furniture"
"4330",1,"4540",1,"Building completion and finishing activities"
"4390",1,"4520",1,"Scaffolding; roof covering; subsurface work; construction of foundations incl. pile driving"
"4390",1,"4530",1,"Damp proofing and water proofing works"
"4390",1,"4540",1,"Steam cleaning, sand blasting and similar activities for building exteriors"
"4390",1,"4550",1,"Renting of cranes with operator; renting of mortar spreaders, concrete surfacing machinery etc. with operator"
"4510",0,"5010",0,""
"4520",0,"5020",1,""
"4530",0,"5030",0,""
"4540",0,"5040",0,""
"4610",0,"5110",0,""
"4620",0,"5121",0,""
"4630",0,"5122",0,""
"4641",0,"5131",0,""
"4649",0,"5139",1,""
"4651",0,"5151",0,""
"4652",0,"5152",0,""
"4653",0,"5159",1,""
"4659",0,"5159",1,""
"4661",0,"5141",0,""
"4662",0,"5142",0,""
"4663",1,"5139",1,"Wholesale of wallpaper and floor coverings"
"4663",1,"5143",0,""
"4669",0,"5149",0,""
"4690",0,"5190",0,""
"4711",0,"5211",0,""
"4719",0,"5219",0,""
"4721",0,"5220",1,""
"4722",0,"5220",1,""
"4723",0,"5220",1,""
"4730",0,"5050",0,""
"4741",0,"5239",1,""
"4742",0,"5233",1,""
"4751",0,"5232",1,""
"4752",0,"5234",0,""
"4753",1,"5233",1,"Retail sale of curtains and net curtains"
"4753",1,"5239",1,"Retail sale of carpets, rugs, wallpaper and floor coverings"
"4759",0,"5233",1,""
"4761",0,"5239",1,""
"4762",0,"5233",1,""
"4763",0,"5239",1,""
"4764",0,"5239",1,""
"4771",0,"5232",1,""
"4772",0,"5231",0,""
"4773",0,"5239",1,""
"4774",0,"5240",0,""
"4781",0,"5252",1,""
"4782",0,"5252",1,""
"4789",0,"5252",1,""
"4791",1,"5251",0,""
