"ISIC3","partialISIC3","ISIC2","partialISIC2","Detail"
"2021",1,"3411",1,"Manufacture of fibreboard, other building board"
"2022",0,"3311",1,"Manufacture of builders' carpentry and joinery"
"2023",1,"3311",1,"Manufacture of coopers' products of wood"
"2023",1,"3312",1,"Manufacture of boxes, crates, drums, barrels, other wood containers"
"2029",1,"3214",1,"Manufacture of woven cane or straw floor mats"
"2029",1,"3312",1,"Manufacture of plaiting materials; baskets and other articles of cane, plaiting materials"
"2029",1,"3319",1,"Cork processing; manufacture of cork products, small wares of wood, such as tools, household utensils, ornaments, cases, wood articles, n.e.c."
"2029",1,"3320",1,"Manufacture of furnishings of wood, e.g. coat racks, window blinds (not standing furniture)"
"2101",1,"3411",1,"Manufacture of pulp, paper, paperboard"
"2101",1,"3419",1,"Manufacture of off-machine coated, glazed, gummed, laminated paper and paperboard"
"2101",1,"3909",1,"Manufacture of carbon paper in rolls or sheets"
"2102",1,"3411",1,"Manufacture of corrugated paper or paperboard"
"2102",1,"3412",1,"Manufacture of containers and boxes of paper and paperboard"
"2109",1,"3412",1,"Manufacture of constructions of paper and paperboard, such as spools, cones, cores and bobbins"
"2109",1,"3419",1,"Manufacture of articles of paper and paperboard such as plates, utensils, stationery, towels, toilet articles, filter blocks"
"2109",1,"3420",1,"Printing or embossing of stationery and labels"
"2109",1,"3909",1,"Manufacture of carbon paper, cut to size"
"2211",0,"3420",1,"Publishing of books, brochures, musical books and other publications"
"2212",0,"3420",1,"Publishing of newspapers, journals and periodicals"
"2213",0,"3832",1,"Publishing of recorded media"
"2219",0,"3420",1,"Other publishing (photos, engravings, postcards, timetables, forms, posters, art reproductions, etc.)"
"2221",1,"3420",1,"Printing (periodicals, books, maps, music, posters, catalogues, stamps, currency) on account of publishers, producers, government, others"
"2221",1,"3909",1,"Manufacture of advertising displays and novelties"
"2222",0,"3420",1,"Service activities related to printing (bookbinding, production of type, plates, etc.)"
"2230",1,"3832",1,"Reproduction of records, audio and computer tapes from master copies; reproduction of floppy, hard compact disks"
"2230",1,"9411",1,"Film and video reproduction"
"2310",0,"3540",1,"Manufacture of coke oven products"
"2320",1,"3530",0,"Petroleum refineries"
"2320",1,"3540",1,"Manufacture of petroleum refinery products from purchased materials"
"2330",0,"3511",1,"Processing of nuclear fuel"
"2411",0,"3511",1,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
"2412",1,"3511",1,"Manufacture of products of the nitrogenous fertilizer industry (nitric acid, ammonia, nitrate of potassium, urea)"
"2412",1,"3512",1,"Manufacture of straight, mixed, compound and complex nitrogenous, phosphatic and potassic fertilizers"
"2413",0,"3513",1,"Manufacture of plastics in primary forms and of synthetic rubber"
"2421",0,"3512",1,"Manufacture of pesticides and other agro-chemical products"
"2422",1,"3521",0,"Manufacture of paints, varnishes and lacquers"
"2422",1,"3529",1,"Manufacture of printers' ink"
"2422",1,"3909",1,"Manufacture of artist's colours, paints"
"2423",1,"3522",0,"Manufacture of drugs and medicines"
"2423",1,"3851",1,"Manufacture of surgical, medical dressings, sutures, bandages; cements used in dentistry"
"2424",1,"3523",0,"Manufacture of soap and cleaning preparations, perfumes, cosmetics and other toilet preparations"
"2424",1,"3529",1,"Manufacture of polishes for furniture, metal, etc.; waxes; deodorizing preparations"
"2429",1,"3121",1,"Edible salt refining"
"2429",1,"3511",1,"Manufacture of activated carbon; anti-freeze preparations; chemical products for industrial and laboratory use"
"2429",1,"3529",1,"Manufacture of writing and drawing ink; gelatine products; photochemical products, plates, films; sensitized unexposed film, unrecorded recording medi"
"2429",1,"3559",1,"Manufacture of rubber cement"
"2429",1,"3560",1,"Manufacture of phonograph record blanks"
"2430",1,"3211",1,"Manufacture of synthetic filament yarns (spinning and weaving of purchased man-made fibres)"
"2430",1,"3513",1,"Manufacture of man-made filament tow or staple fibres, except glass"
"2511",0,"3551",1,"Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"2519",1,"3513",1,"Manufacture of synthetic rubber products in basic forms: sheets, rods, tubes"
"2519",1,"3551",1,"Manufacture of tube repair materials"
"2519",1,"3559",1,"Manufacture of finished or semi-finished products, n.e.c. of naturalm or synthetic rubber (e.g. industrial, pharmaceutical, apparel articles)"
"2519",1,"3851",1,"Manufacture of medical rubber hose"
"2520",1,"3212",1,"Manufacture of made-up plastics textile goods, except wearing apparel (e.g. bags, household furnishings)"
"2520",1,"3513",1,"Manufacture of plastics products in basic forms: sheets, rods, tubes, etc."
"2520",1,"3560",1,"Manufacture of plastics articles n.e.c. (dinnerware, tiles, builders' parts, etc.)"
"2610",1,"3211",1,"Manufacture of yarn of glass fibres"
"2610",1,"3620",1,"Manufacture of glass and glass products"
"2610",1,"3699",1,"Manufacture of glass wool"
"2691",0,"3610",0,"Manufacture of non-structural non-refractory ceramic ware (pottery, china, and earthenware)"
"2692",1,"3691",1,"Manufacture of refractory clay products"
"2692",1,"3699",1,"Manufacture of non-clay refractory products"
"2693",0,"3691",1,"Manufacture of structural non-refractory clay and ceramic products"
"2694",0,"3692",0,"Manufacture of cement, lime and plaster"
"2695",0,"3699",1,"Manufacture of articles of concrete, cement and plaster"
"2696",0,"3699",1,"Cutting, shaping and finishing of stone (not at quarry)"
"2699",1,"3411",1,"Manufacture of asbestos paper"
"2699",1,"3540",1,"Manufacture of asphalt products"
"2699",1,"3699",1,"Manufacture of asbestos products; friction materials; mineral insulating materials; grindstones, abrasive products; articles of mica, graphite or othe"
"2710",1,"3710",1,"Manufacture of primary iron and steel products (excluding forging and casting operations)"
"2710",1,"3819",1,"Manufacture of pipe fittings of iron and steel"
"2720",1,"3699",1,"Manufacture of cermets"
"2720",1,"3720",1,"Manufacture of primary products of precious and non-ferrous metal (excluding forging and casting operations)"
"2720",1,"3819",1,"Manufacture of pipe fittings of non-ferrous metal; non-ferrous wire and cable from purchased rod"
"2731",0,"3710",1,"Casting of iron and steel"
"2732",0,"3720",1,"Casting of non-ferrous metals"
"2811",0,"3813",1,"Manufacture of structural metal products"
"2812",1,"3813",1,"Manufacture of metal reservoirs and tanks for storage and manufacturing use; central heating boilers"
"2812",1,"3819",1,"Manufacture of radiators, metal containers for compressed and liquefied gas"
"2813",1,"3813",1,"Manufacture of steam generators, except central heating hot water boilers"
"2813",1,"3824",1,"Manufacture of parts for nuclear reactors"
"2891",1,"3710",1,"Forging of iron and steel"
"2891",1,"3720",1,"Forging of precious and non-ferrous metals"
"2891",1,"3811",1,"Blacksmithing, hand forging of metal products"
"2891",1,"3819",1,"Pressing, stamping of metal products"
"2892",1,"3710",1,"Treatment and specialized operation on iron and steel, on a fee or contract basis"
"2892",1,"3720",1,"Treatment and specialized operation on precious and non-ferrous metals, on a fee or contract basis"
"2892",1,"3819",1,"Treatment and coating of metal (e.g. plating, polishing, engraving, welding), on a fee or contract basis"
"2892",1,"3829",1,"Machine shop work: machining, tooling and fabricating including repairs"
"2892",1,"3901",1,"Plating, engraving, etc of jewellery and silverware for the trade"
"2893",1,"3811",1,"Manufacture of metal household articles (knives, utensils, etc.); hand tools for agriculture, gardening; tools used by plumbers, carpenters, other tra"
"2893",1,"3823",1,"Manufacture of attachments and accessories for machine tools (whether or not power-operated)"
"2893",1,"3824",1,"Manufacture of bits for drilling rocks"
"2899",1,"3240",1,"Manufacture of shoe clasps and buckles"
"2899",1,"3412",1,"Manufacture of aluminium foil bag"
"2899",1,"3811",1,"Manufacture of hand-operated kitchen appliances"
"2899",1,"3812",1,"Manufacture of metal goods for office use (excluding furniture)"
"2899",1,"3813",1,"Manufacture of furnace casings, laundry trays, and similar sheet metal products"
"2899",1,"3819",1,"Manufacture of metal fasteners, springs, containers, wire articles, metal sanitary ware (e.g. sinks), kitchen ware, safes, picture frames, headgear"
"2899",1,"3829",1,"Manufacture of weather vanes, ship propellers and metal pallets, flexible tubing and hose"
"2899",1,"3901",1,"Manufacture of precious metal plated ware"
"2899",1,"3909",1,"Manufacture of small metal articles n.e.c."
"2911",1,"3821",0,"Manufacture of engines and turbines"
"2911",1,"3829",1,"Manufacture of pistons and piston rings"
"2911",1,"3831",1,"Manufacture of wind-powered prime movers"
"2911",1,"3841",1,"Manufacture of engines and turbines for marine propulsion"
"2912",1,"3819",1,"Manufacture of plumbers' valves, brass goods"
"2912",1,"3822",1,"Manufacture of windmills for pumping water"
"2912",1,"3824",1,"Manufacture of laboratory pumps"
"2912",1,"3829",1,"Manufacture of pumps, air and gas compressors and valves"
"2912",1,"3843",1,"Manufacture of pumps, compressors for motor vehicles"
"2913",0,"3829",1,"Manufacture of bearings, gears, gearing and driving elements"
"2914",1,"3819",1,"Manufacture of non-electrical metal furnaces, stoves, and other space heaters"
"2914",1,"3824",1,"Manufacture of electric bakery ovens"
"2914",1,"3829",1,"Manufacture of industrial process furnaces and ovens (non-electric)"
"2914",1,"3851",1,"Manufacture of laboratory heating apparatus"
"2915",1,"3811",1,"Manufacture of jacks, block and tackle"
"2915",1,"3822",1,"Manufacture of loaders, stackers, farm elevators, etc"
"2915",1,"3824",1,"Manufacture of derricks; lifting and handling equipment for construction and mining"
"2915",1,"3829",1,"Manufacture of lifting and hoisting machinery, cranes, elevators, industrial trucks, tractors, stackers; specialized parts for lifting and handling eq"
"2915",1,"3841",1,"Manufacture of marine capstans, pulleys, tackle, etc"
"2919",1,"3819",1,"Manufacture of domestic fuel oil filters and cartridges, portable lawn sprinklers, chill coils; and manufacture, repair and servicing of fire extingui"
"2919",1,"3824",1,"Manufacture of machinery for packing and packaging; bottling and canning; bottle cleaning; calendering"
"2919",1,"3825",1,"Manufacture of weighing machines"
"2919",1,"3829",1,"Manufacture of unit air conditioners, refrigerating equipment, fans (industrial), gas generators, fire sprinklers, centrifuges, other machinery n.e.c."
"2919",1,"3851",1,"Manufacture of laboratory centrifuges"
"2921",1,"3811",1,"Manufacture of hand lawn mowers"
"2921",1,"3819",1,"Manufacture of metal incubators for poultry, livestock and other agricultural purposes"
"2921",1,"3822",1,"Manufacture of agricultural and forestry machinery other than power driven agricultural hand tools"
"2922",1,"3822",1,"Manufacture of power-driven agricultural hand tools"
"2922",1,"3823",1,"Manufacture of machine tools, attachments and accessories for metal and woodworking machinery (non-electric)"
"2922",1,"3824",1,"Manufacture of machine tools for industrial machinery other than metal and woodworking (non-electric)"
"2922",1,"3829",1,"Manufacture of scrap shredders, fan forges and hydraulic brake equipment"
"2922",1,"3831",1,"Manufacture of electric welding equipment"
"2923",1,"3823",1,"Manufacture of machinery for metallurgy"
"2923",1,"3824",1,"Manufacture of smelting and refining machinery"
"2924",1,"3824",1,"Manufacture of machinery for mining, quarrying and construction"
"2924",1,"3829",1,"Manufacture of material handling equipment"
"2925",1,"3822",1,"Manufacture of machinery for primary processing of agricultural products other than food, beverage and tobacco processing"
"2925",1,"3824",1,"Manufacture of special industrial machinery for food, beverage and tobacco processing"
"2926",1,"3824",1,"Manufacture of textile machinery"
"2926",1,"3829",1,"Manufacture of sewing machines; washing, laundry, dry-cleaning, pressing machines"
"2926",1,"3909",1,"Manufacture of needles for knitting, sewing machines"
"2927",1,"3529",1,"Manufacture of explosives and ammunition"
"2927",1,"3829",1,"Manufacture of small arms and accessories, heavy ordnance and artillery; tanks"
"2929",1,"3559",1,"Manufacture of rubber printing type"
"2929",1,"3819",1,"Manufacture of metallic and metal-faced type"
"2929",1,"3823",1,"Manufacture of moulds for metal"
"2929",1,"3824",1,"Manufacture of printing trade machinery; paper industry machinery; machines for man-made textile fibres or yarns, glass-working, tile-making"
"2929",1,"3829",1,"Manufacture of centrifugal clothes driers"
"2929",1,"3851",1,"Manufacture of special purpose machinery n.e.c."
"2930",1,"3813",1,"Manufacture of sheet metal range hoods"
"2930",1,"3819",1,"Manufacture of non-electric domestic stoves and space heaters"
"2930",1,"3829",1,"Manufacture of domestic cooking ranges, refrigerators, laundry machines"
"2930",1,"3833",0,"Manufacture of electrical appliances and housewares"
"3000",1,"3825",1,"Manufacture of office, accounting and computing machinery"
"3000",1,"3852",1,"Manufacture of photo-copying machines"
"3110",1,"3831",1,"Manufacture of electric motors, generators, transformers"
"3110",1,"3832",1,"Manufacture of radio transformers"
"3120",1,"3831",1,"Manufacture of switch gear and switchboard apparatus; electricity distribution equipment"
"3120",1,"3832",1,"Manufacture of semi-conductor circuits"
"3120",1,"3839",1,"Manufacture of switches, fuses, sockets, plugs, conductors, lightning arresters"
"3130",0,"3839",1,"Manufacture of insulated wire and cable "
"3140",1,"3559",1,"Manufacture of battery separators, containers, parts, boxes, etc., of rubber"
"3140",1,"3560",1,"Manufacture of battery separators, containers, parts, boxes, etc., of plastic"
"3140",1,"3839",1,"Manufacture of accumulators, primary cells and primary batteries"
"3150",1,"3812",1,"Manufacture of metal lamps"
"3150",1,"3819",1,"Manufacture of metal lighting equipment and parts, except for use on cycle and motor equipment"
"3150",1,"3839",1,"Manufacture of electric lamps, fixtures"
"3150",1,"3909",1,"Manufacture of electric signs"
"3190",1,"3620",1,"Manufacture of glass insulating fittings"
"3190",1,"3699",1,"Manufacture of graphite products"
"3190",1,"3819",1,"Manufacture of bicycle lighting equipment"
"3190",1,"3824",1,"Manufacture of apparatus for electroplating, electrolysis, electrophoresis"
"3190",1,"3829",1,"Manufacture of dishwashing machines, except household type"
"3190",1,"3831",1,"Manufacture of electric ignition or starting equipment for internal combustion engines; electromagnetic clutches and brakes; electric timing, controll"
"3190",1,"3832",1,"Manufacture of visual and sound signalling and traffic control apparatus"
"3190",1,"3839",1,"Manufacture of motor vehicle lighting equipment; carbon and graphite electrodes; other electrical equipment n.e.c."
"3190",1,"3843",1,"Manufacture of electric windshield wipers, defrosters"
"3190",1,"3851",1,"Manufacture of accelerators (cyclotrons, betatrons); mine detectors"
"3210",1,"3831",1,"Manufacture of capacitors except fixed and variable electronic capacitors"
"3210",1,"3832",1,"Manufacture of electronic valves and tubes and other electronic components including fixed and variable electronic capacitors"
"3220",0,"3832",1,"Manufacture of television and radio transmitters and apparatus for line telephony and line telegraphy"
"3230",0,"3832",1,"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods"
"3311",1,"3812",1,"Manufacture of medical, surgical, dental furniture and fixtures"
"3311",1,"3829",1,"Manufacture of beauty parlour and barber sterilizers"
"3311",1,"3832",1,"Manufacture of X-ray apparatus; electrotherapeutic apparatus"
"3311",1,"3851",1,"Manufacture of surgical, medical, dental equipment, instruments and supplies; orthopaedic and prosthetic appliances"
"3311",1,"3852",1,"Manufacture of ophthalmic instruments"
"3311",1,"9331",1,"Manufacture of prosthetic appliances, artificial teeth made to order"
"3312",1,"3811",1,"Manufacture of levels, plumb lines, protractors, squares, and other precision measuring tools"
"3312",1,"3823",1,"Manufacture of machinists' measuring tools"
"3312",1,"3832",1,"Manufacture of radar equipment, radio remote control apparatus"
"3312",1,"3851",1,"Manufacture of instruments and appliances for measuring and controlling equipment, except industrial process control equipment"
"3312",1,"3852",1,"Manufacture of scientific measuring instruments"
"3313",0,"3851",1,"Manufacture of industrial process control equipment"
"3320",1,"3620",1,"Manufacture of optical fibres and cables, unsheathed"
"3320",1,"3852",1,"Manufacture of optical instruments and photographic equipment"
"3330",1,"3853",0,"Manufacture of watches and clocks"
"3330",1,"3901",1,"Manufacture of watch bands and bracelets of precious metal; jewels for watches"
"3410",1,"3843",1,"Manufacture of motor vehicles"
"3410",1,"3849",1,"Manufacture of motorized caddy cars"
"3420",1,"3813",1,"Manufacture of metal plate tanks designed and equipped for carriage by one or more modes of transport (e.g. trucks)"
"3420",1,"3829",1,"Manufacture of industrial trailers; containers"
"3420",1,"3843",1,"Manufacture of motor vehicle bodies; trailers, semi-trailers; trailer parts"
"3430",1,"3560",1,"Manufacture of plastic grills and fenders for automobiles"
"3430",1,"3843",1,"Manufacture of parts and accessories for motor vehicles and their engines"
"3511",1,"3559",1,"Manufacture of inflatable rafts (rubber)"
"3511",1,"3813",1,"Manufacture of metal sections for ships and barges"
"3511",1,"3824",1,"Manufacture of floating drilling platforms, oil rigs"
"3511",1,"3841",1,"Building and repairing of ships (other than sport and pleasure boats) and specialized parts"
"3511",1,"3845",1,"Building of hovercraft"
"3512",1,"3559",1,"Manufacture of inflatable boats (rubber)"
"3512",1,"3841",1,"Building and repairing of sport and pleasure boats and specialized parts"
"3520",1,"3710",1,"Manufacture of wheels for railway cars and locomotives"
"3520",1,"3824",1,"Manufacture of locomotive cranes"
"3520",1,"3831",1,"Manufacture of railway motor control electrical equipment"
"3520",1,"3842",0,"Manufacture of railway and tramway locomotives and rolling stock"
"3530",1,"3832",1,"Manufacture of communication satellites (space vehicles)"
"3530",1,"3845",1,"Manufacture of aircraft and spacecraft"
"3591",0,"3844",1,"Manufacture of motorcycles"
"3592",1,"3843",1,"Manufacture of motorized invalid carriages"
"3592",1,"3844",1,"Manufacture of bicycles, bicycle parts"
"3592",1,"3849",1,"Manufacture of invalid carriages, not motorized"
"3592",1,"3909",1,"Manufacture of children's bicycles"
"3599",1,"3829",1,"Manufacture of hand carts, trucks and trolleys (including specialized industrial use)"
"3599",1,"3849",1,"Manufacture of hand-propelled vehicles, animal-drawn vehicles, n.e.c."
"3610",1,"3320",1,"Manufacture of furniture and fixtures, except of plastics or metal"
"3610",1,"3560",1,"Manufacture of plastics furniture"
"3610",1,"3812",1,"Manufacture of furniture and fixtures of metal"
"3691",0,"3901",1,"Manufacture of jewellery and related articles"
"3692",1,"3902",0,"Manufacture of musical instruments"
"3692",1,"3903",1,"Manufacture of whistles, call horns, signalling instruments"
"3693",0,"3903",1,"Manufacture of sports goods"
"3694",1,"3559",1,"Manufacture of rubber toys"
"3694",1,"3829",1,"Manufacture of mechanical and coin-operated amusement machines"
"3694",1,"3844",1,"Manufacture of children's tricycles and scooters"
"3694",1,"3903",1,"Manufacture of billiard and pool tables and equipment"
"3694",1,"3909",1,"Manufacture of toys and games n.e.c."
"3699",1,"3219",1,"Manufacture of linoleum and hard surface floor coverings"
"3699",1,"3233",1,"Manufacture of whips and riding crops"
"3699",1,"3319",1,"Manufacture of burial caskets"
"3699",1,"3320",1,"Manufacture of theatrical scenery and properties"
"3699",1,"3529",1,"Manufacture of candles, matches"
"3699",1,"3540",1,"Manufacture of asphalt floor tiles"
"3699",1,"3560",1,"Manufacture of plastic vacuum bottles and vacuum bottle stoppers"
"3699",1,"3699",1,"Manufacture of vinyl asbestos floor tiles"
"3699",1,"3811",1,"Manufacture of vacuum containers"
"3699",1,"3819",1,"Manufacture of hand sifting or screening apparatus"
"3699",1,"3829",1,"Manufacture of hand-operated floor sweepers and amusement park equipment"
"3699",1,"3849",1,"Manufacture of baby carriages"
"3699",1,"3909",1,"Manufacture of pens and pencils; costume jewellery; umbrellas, canes; feathers, artificial flowers; tobacco pipes; stamps; novelties; other manufactur"
"3710",1,"3710",1,"Recycling of non-ferrous metal waste and scrap, outside of scrap yard"
"3710",1,"3720",1,"Recycling of non-ferrous metal waste and scrap"
"3710",1,"6100",1,"Recycling of metal waste and scrap"
"3720",1,"3219",1,"Recycling of textile fibres"
"3720",1,"3559",1,"Recycling of rubber"
"3720",1,"3560",1,"Recycling of used plastic materials"
"3720",1,"6100",1,"Recycling of products n.e.c."
"4010",0,"4101",1,"Production, collection and distribution of electricity"
"4020",0,"4102",0,"Manufacture of gas; distribution of gaseous fuels through mains"
"4030",0,"4103",0,"Steam and hot water supply"
"4100",0,"4200",0,"Collection, purification and distribution of water"
"4510",0,"5000",1,"Site preparation (construction)"
"4520",1,"5000",1,"Building of complete constructions or parts thereof; civil engineering"
"4520",1,"8310",1,"Real estate development"
"4530",1,"5000",1,"Building installation"
"4530",1,"9512",1,"Installing electrical equipment in homes"
"4540",0,"5000",1,"Building completion"
"4550",0,"5000",1,"Renting of construction or demolition equipment with operator"
"5010",1,"6100",1,"Wholesale of motor vehicles, including by auction"
"5010",1,"6200",1,"Retail sale of motor vehicles"
"5020",1,"7112",1,"Maintenance facilities for road transport"
"5020",1,"9513",1,"Maintenance and repair of motor vehicles"
"5030",1,"6100",1,"Wholesale of motor vehicle parts and accessories"
"5030",1,"6200",1,"Retail sale of motor vehicle parts and accessories"
"5040",1,"6100",1,"Wholesale of motorcycles and snowmobiles and related parts and accessories"
"5040",1,"6200",1,"Retail sale of motorcycles and snowmobiles and related parts and accessories"
"5040",1,"9513",1,"Repair of motorcycles and related parts"
"5040",1,"9519",1,"Maintenance and repair of snowmobiles"
"5050",0,"6200",1,"Retail sale of automotive fuel"
"5110",0,"6100",1,"Wholesale on a fee or contract basis"
"5121",0,"6100",1,"Wholesale of agricultural raw materials and live animals"
"5122",0,"6100",1,"Wholesale of food, beverages and tobacco"
